,Month,Deaths,LSTM Predictions,SARIMA Predictions
0,2015-01-01,2771,0.0,0.0
1,2015-02-01,2627,0.0,2540.8381724351943
2,2015-03-01,2907,0.0,2673.336257105797
3,2015-04-01,2822,2816.31787109375,2865.7116548711815
4,2015-05-01,2850,2836.666015625,2837.851862246852
5,2015-06-01,2634,2915.675048828125,2844.503803741068
6,2015-07-01,2734,2828.050537109375,2662.1619646044155
7,2015-08-01,2810,2793.494384765625,2717.839154667724
8,2015-09-01,2925,2774.75048828125,2802.2969983189
9,2015-10-01,2970,2872.875,2911.302118679543
10,2015-11-01,2739,2954.36962890625,2965.942353973406
11,2015-12-01,2718,2939.580322265625,2768.8957609528024
12,2016-01-01,3098,2868.4140625,4710.8596138599905
13,2016-02-01,3416,2896.087890625,3158.6993643768615
14,2016-03-01,3721,3120.604736328125,3599.5770375595325
15,2016-04-01,3608,3462.747314453125,3632.385660250538
16,2016-05-01,3475,3648.40283203125,3644.1031414687664
17,2016-06-01,3384,3676.553466796875,3274.646980954042
18,2016-07-01,3668,3561.232177734375,3463.7434849481074
19,2016-08-01,3624,3569.897705078125,3713.9733748756216
20,2016-09-01,3518,3623.331298828125,3771.49641408877
21,2016-10-01,3695,3676.559814453125,3611.6868477189287
22,2016-11-01,3745,3678.578369140625,3418.429926525294
23,2016-12-01,4044,3718.286865234375,3683.6888955717213
24,2017-01-01,4332,3891.943603515625,4244.817620971459
25,2017-02-01,4006,4104.123046875,4712.487643118592
26,2017-03-01,4252,4210.9013671875,4429.7216151679795
27,2017-04-01,4056,4276.1123046875,4150.053262231786
28,2017-05-01,4129,4184.76513671875,3978.6181729024765
29,2017-06-01,3950,4226.640625,3967.919702562743
30,2017-07-01,3980,4126.59130859375,4210.381122754873
31,2017-08-01,4000,4099.2119140625,4008.779234947578
32,2017-09-01,4022,4051.92822265625,3935.398233952052
33,2017-10-01,3832,4076.502685546875,4155.917790159434
34,2017-11-01,3820,4032.395751953125,3888.863315679123
35,2017-12-01,4017,3969.880615234375,4057.5454170128673
36,2018-01-01,4008,3958.870849609375,4273.158478678039
37,2018-02-01,3671,4020.899169921875,3988.4766205031397
38,2018-03-01,4155,3983.587158203125,3995.446979698815
39,2018-04-01,3922,4013.350341796875,3951.263563143173
40,2018-05-01,4079,3989.330810546875,3942.1483509933146
41,2018-06-01,4063,4129.41796875,3885.237404349423
42,2018-07-01,4085,4096.20263671875,4156.244767882558
43,2018-08-01,4061,4153.5673828125,4115.035209226287
44,2018-09-01,3882,4148.11376953125,4061.1957080655393
45,2018-10-01,3999,4091.99755859375,3880.1578365622236
46,2018-11-01,3692,4056.93359375,3938.632256009445
47,2018-12-01,3976,3938.667724609375,3960.909399272913
48,2019-01-01,3931,3961.2744140625,4058.5574342568325
49,2019-02-01,3727,3936.836181640625,3800.8647121647396
50,2019-03-01,4285,3959.293212890625,4104.815995044505
51,2019-04-01,3934,4044.83984375,4060.7519847241783
52,2019-05-01,4100,4058.69189453125,4030.2628105397175
53,2019-06-01,4112,4187.46923828125,3981.9971526371255
54,2019-07-01,4296,4123.072265625,4184.037754239084
55,2019-08-01,4371,4243.765625,4268.1843198005345
56,2019-09-01,4252,4335.89111328125,4267.545125981628
57,2019-10-01,4529,4391.06982421875,4312.770399292797
58,2019-11-01,4560,4462.12744140625,4329.686557182253
59,2019-12-01,4645,4526.3720703125,4763.8855455642615
60,2020-01-01,4727,4662.6982421875,4735.560962076347
61,2020-02-01,4696,4729.0595703125,4569.357214399396
62,2020-03-01,5365,4729.0595703125,5092.554793674121
63,2020-04-01,6027,4788.86572265625,4860.585532951642
64,2020-05-01,7419,4837.4794921875,4942.20650015477
65,2020-06-01,6307,4874.28759765625,4876.638921667216
66,2020-07-01,6343,4924.15771484375,5016.51600046421
67,2020-08-01,6165,4969.93798828125,5041.705896916628
68,2020-09-01,5683,5014.80859375,4958.628025423093
69,2020-10-01,5613,5062.6337890625,5086.2212531414125
70,2020-11-01,5613,5109.59375,5029.753481147935
71,2020-12-01,5792,5156.99658203125,5205.3661308977735
