order,seasonal_order,AIC,BIC,MAE,RMSE
"(0, 0, 0)","(2, 1, 2)",25916.773737048148,25945.712721439053,65.46987659312461,86.57479264851523
"(0, 0, 2)","(1, 2, 2)",23421.05554034646,23455.747379753066,65.84370579425554,86.58952752822422
"(2, 0, 2)","(1, 1, 0)",22434.456243211465,22469.210336756143,65.56966350293021,86.60641508139065
"(2, 0, 2)","(0, 1, 0)",23150.675293558605,23179.659695272523,65.58696372174465,86.89045827735438
"(0, 0, 0)","(2, 1, 1)",25961.546957115854,25984.69980334724,65.40661481633441,86.96071689780725
"(0, 0, 2)","(1, 1, 2)",23385.554165236434,23420.275967252124,65.3428858034739,87.088985729747
"(0, 0, 1)","(1, 0, 2)",24719.056668804125,24748.018413424692,65.77453023274735,87.0923609354444
"(0, 0, 2)","(2, 1, 2)",23387.541496740472,23428.050265758775,65.33800645080707,87.09515985329926
"(0, 0, 2)","(2, 1, 1)",23412.259887124586,23446.989156471667,65.3371546613864,87.10406657250248
"(0, 0, 2)","(1, 1, 1)",23496.84235650203,23525.80203628672,65.33551108067935,87.10909777005442
"(0, 0, 1)","(2, 1, 1)",24351.495815204777,24380.43687299401,65.36302910535844,87.12891853134829
"(1, 0, 0)","(0, 2, 2)",21556.221158947425,21579.352387998784,65.58330735259607,87.12998333401556
"(1, 0, 0)","(1, 2, 2)",21558.221205998023,21587.135242312223,65.57351133061202,87.14149686333779
"(0, 0, 1)","(1, 1, 2)",24330.747247092237,24359.68415722466,65.35183360008291,87.16181981191235
"(0, 0, 2)","(0, 1, 2)",23536.07241157069,23565.007246583766,65.68451509906956,87.17210520888021
"(0, 0, 1)","(0, 1, 2)",24598.466508362566,24621.616036468506,65.68873420037225,87.18170514128397
"(0, 0, 0)","(1, 1, 2)",25982.23607161566,26005.387259128387,65.37290335867641,87.23342091058416
"(0, 0, 1)","(1, 1, 1)",24459.637924508308,24482.80732020476,65.33604012515114,87.25693035498347
"(1, 0, 0)","(1, 1, 2)",21520.962059664424,21549.90104405533,65.40911149575645,87.36055217796878
"(1, 0, 0)","(0, 1, 2)",21525.776285901677,21548.927473414402,65.46427563171407,87.37662397697262
"(1, 0, 0)","(2, 1, 1)",21526.953375434932,21555.892359825837,65.46420602701936,87.38151030638032
"(1, 0, 0)","(2, 1, 2)",21518.940076421975,21553.666857691063,65.39766092259956,87.39443692824318
"(1, 0, 0)","(0, 1, 1)",21620.84865628449,21638.226941446937,65.43319434263647,87.42303969782833
"(1, 0, 0)","(1, 1, 1)",21622.835482003822,21646.006528887086,65.43311756944956,87.42433611832077
"(0, 0, 1)","(2, 1, 2)",24359.485537180844,24394.209829339754,65.60360469100789,87.48455378271399
"(2, 1, 1)","(2, 0, 2)",21498.530204209783,21544.86569186529,65.50685949581505,87.541852135492
"(2, 1, 1)","(1, 0, 2)",21502.114173445676,21542.657725144243,65.5168660151804,87.56765533335185
"(2, 0, 0)","(0, 2, 2)",21469.6805995263,21498.594635840498,65.5471284763501,87.57497018971675
"(1, 0, 2)","(0, 2, 2)",21455.304197583187,21489.996036989793,65.5035644749401,87.65782837552798
