,Month,Deaths,LSTM Predictions,SARIMA Predictions
0,2015-01-01,2771,0.0,0.0
1,2015-02-01,2627,0.0,2540.8381724351943
2,2015-03-01,2907,0.0,2673.336257105797
3,2015-04-01,2822,0.0,2865.7116548711815
4,2015-05-01,2850,0.0,2837.851862246852
5,2015-06-01,2634,0.0,2844.503803741068
6,2015-07-01,2734,0.0,2662.1619646044155
7,2015-08-01,2810,2782.466796875,2717.839154667724
8,2015-09-01,2925,2817.99267578125,2802.2969983189
9,2015-10-01,2970,2886.49169921875,2911.302118679543
10,2015-11-01,2739,2909.13720703125,2965.942353973406
11,2015-12-01,2718,2862.26416015625,2768.8957609528024
12,2016-01-01,3098,2804.775390625,4710.8596138599905
13,2016-02-01,3416,2944.13037109375,3158.6993643768615
14,2016-03-01,3721,3129.12109375,3599.5770375595325
15,2016-04-01,3608,3309.0107421875,3632.385660250538
16,2016-05-01,3475,3359.21240234375,3644.1031414687664
17,2016-06-01,3384,3126.608642578125,3274.646980954042
18,2016-07-01,3668,3385.94970703125,3463.7434849481074
19,2016-08-01,3624,3540.443359375,3713.9733748756216
20,2016-09-01,3518,3647.22998046875,3771.49641408877
21,2016-10-01,3695,3636.44970703125,3611.6868477189287
22,2016-11-01,3745,3637.978759765625,3418.429926525294
23,2016-12-01,4044,3681.8154296875,3683.6888955717213
24,2017-01-01,4332,3823.19091796875,4244.817620971459
25,2017-02-01,4006,4014.156494140625,4712.487643118592
26,2017-03-01,4252,3989.45849609375,4429.7216151679795
27,2017-04-01,4056,4066.1650390625,4150.053262231786
28,2017-05-01,4129,4103.63671875,3978.6181729024765
29,2017-06-01,3950,4137.4140625,3967.919702562743
30,2017-07-01,3980,4156.7666015625,4210.381122754873
31,2017-08-01,4000,4136.5625,4008.779234947578
32,2017-09-01,4022,4106.66015625,3935.398233952052
33,2017-10-01,3832,4122.2109375,4155.917790159434
34,2017-11-01,3820,4044.90380859375,3888.863315679123
35,2017-12-01,4017,3991.5126953125,4057.5454170128673
36,2018-01-01,4008,4009.60791015625,4273.158478678039
37,2018-02-01,3671,4046.05029296875,3988.4766205031397
38,2018-03-01,4155,3954.41455078125,3995.446979698815
39,2018-04-01,3922,3996.391845703125,3951.263563143173
40,2018-05-01,4079,4018.31103515625,3942.1483509933146
41,2018-06-01,4063,4030.942626953125,3885.237404349423
42,2018-07-01,4085,4080.30517578125,4156.244767882558
43,2018-08-01,4061,4081.687255859375,4115.035209226287
44,2018-09-01,3882,4080.2705078125,4061.1957080655393
45,2018-10-01,3999,4082.63623046875,3880.1578365622236
46,2018-11-01,3692,4055.7861328125,3938.632256009445
47,2018-12-01,3976,4010.20654296875,3960.909399272913
48,2019-01-01,3931,4002.7412109375,4058.5574342568325
49,2019-02-01,3727,4028.4140625,3800.8647121647396
50,2019-03-01,4285,3945.81787109375,4104.815995044505
51,2019-04-01,3934,4054.747314453125,4060.7519847241783
52,2019-05-01,4100,4053.468994140625,4030.2628105397175
53,2019-06-01,4112,4022.9619140625,3981.9971526371255
54,2019-07-01,4296,4101.2060546875,4184.037754239084
55,2019-08-01,4371,4160.6943359375,4268.1843198005345
56,2019-09-01,4252,4248.39501953125,4267.545125981628
57,2019-10-01,4529,4294.45263671875,4312.770399292797
58,2019-11-01,4560,4366.0546875,4329.686557182253
59,2019-12-01,4645,4447.833984375,4763.8855455642615
60,2020-01-01,4727,4518.37060546875,4735.560962076347
61,2020-02-01,4696,4608.07421875,4569.357214399396
62,2020-03-01,5365,4608.07470703125,5092.554793674121
63,2020-04-01,6027,4629.54833984375,4860.585532951642
64,2020-05-01,7419,4639.712890625,4942.20650015477
65,2020-06-01,6307,4696.39990234375,4876.638921667216
66,2020-07-01,6343,4727.90869140625,5016.51600046421
67,2020-08-01,6165,4761.537109375,5041.705896916628
68,2020-09-01,5683,4782.12548828125,4958.628025423093
69,2020-10-01,5613,4789.8251953125,5086.2212531414125
70,2020-11-01,5613,4811.80810546875,5029.753481147935
71,2020-12-01,5792,4835.1181640625,5205.3661308977735
