,Month,Deaths,LSTM Predictions,SARIMA Predictions
0,2015-01-01,2771,0.0,0.0
1,2015-02-01,2627,0.0,2540.8381724351943
2,2015-03-01,2907,0.0,2673.336257105797
3,2015-04-01,2822,0.0,2865.7116548711815
4,2015-05-01,2850,0.0,2837.851862246852
5,2015-06-01,2634,0.0,2844.503803741068
6,2015-07-01,2734,0.0,2662.1619646044155
7,2015-08-01,2810,0.0,2717.839154667724
8,2015-09-01,2925,0.0,2802.2969983189
9,2015-10-01,2970,2988.832763671875,2911.302118679543
10,2015-11-01,2739,3015.093505859375,2965.942353973406
11,2015-12-01,2718,3023.779052734375,2768.8957609528024
12,2016-01-01,3098,3000.783447265625,4710.8596138599905
13,2016-02-01,3416,3035.322998046875,3158.6993643768615
14,2016-03-01,3721,3111.252685546875,3599.5770375595325
15,2016-04-01,3608,3244.957275390625,3632.385660250538
16,2016-05-01,3475,3352.572021484375,3644.1031414687664
17,2016-06-01,3384,3430.527587890625,3274.646980954042
18,2016-07-01,3668,3485.516845703125,3463.7434849481074
19,2016-08-01,3624,3574.022216796875,3713.9733748756216
20,2016-09-01,3518,3678.905517578125,3771.49641408877
21,2016-10-01,3695,3764.37255859375,3611.6868477189287
22,2016-11-01,3745,3826.191162109375,3418.429926525294
23,2016-12-01,4044,3861.355712890625,3683.6888955717213
24,2017-01-01,4332,3905.892333984375,4244.817620971459
25,2017-02-01,4006,4001.33837890625,4712.487643118592
26,2017-03-01,4252,4068.08447265625,4429.7216151679795
27,2017-04-01,4056,4166.33056640625,4150.053262231786
28,2017-05-01,4129,4215.95703125,3978.6181729024765
29,2017-06-01,3950,4276.26806640625,3967.919702562743
30,2017-07-01,3980,4323.3408203125,4210.381122754873
31,2017-08-01,4000,4352.263671875,4008.779234947578
32,2017-09-01,4022,4372.90576171875,3935.398233952052
33,2017-10-01,3832,4367.123046875,4155.917790159434
34,2017-11-01,3820,4311.5361328125,3888.863315679123
35,2017-12-01,4017,4283.9423828125,4057.5454170128673
36,2018-01-01,4008,4258.8212890625,4273.158478678039
37,2018-02-01,3671,4254.49365234375,3988.4766205031397
38,2018-03-01,4155,4203.1748046875,3995.446979698815
39,2018-04-01,3922,4225.423828125,3951.263563143173
40,2018-05-01,4079,4219.99365234375,3942.1483509933146
41,2018-06-01,4063,4230.6611328125,3885.237404349423
42,2018-07-01,4085,4241.30126953125,4156.244767882558
43,2018-08-01,4061,4270.6337890625,4115.035209226287
44,2018-09-01,3882,4295.3486328125,4061.1957080655393
45,2018-10-01,3999,4282.09765625,3880.1578365622236
46,2018-11-01,3692,4282.32958984375,3938.632256009445
47,2018-12-01,3976,4276.93212890625,3960.909399272913
48,2019-01-01,3931,4255.8046875,4058.5574342568325
49,2019-02-01,3727,4254.80810546875,3800.8647121647396
50,2019-03-01,4285,4212.3876953125,4104.815995044505
51,2019-04-01,3934,4238.8095703125,4060.7519847241783
52,2019-05-01,4100,4226.2705078125,4030.2628105397175
53,2019-06-01,4112,4233.1220703125,3981.9971526371255
54,2019-07-01,4296,4262.296875,4184.037754239084
55,2019-08-01,4371,4303.212890625,4268.1843198005345
56,2019-09-01,4252,4380.97705078125,4267.545125981628
57,2019-10-01,4529,4418.830078125,4312.770399292797
58,2019-11-01,4560,4490.36328125,4329.686557182253
59,2019-12-01,4645,4583.95068359375,4763.8855455642615
60,2020-01-01,4727,4635.15380859375,4735.560962076347
61,2020-02-01,4696,4728.6416015625,4569.357214399396
62,2020-03-01,5365,4728.64208984375,5092.554793674121
63,2020-04-01,6027,4803.73095703125,4860.585532951642
64,2020-05-01,7419,4882.88818359375,4942.20650015477
65,2020-06-01,6307,4954.23583984375,4876.638921667216
66,2020-07-01,6343,5025.802734375,5016.51600046421
67,2020-08-01,6165,5113.9443359375,5041.705896916628
68,2020-09-01,5683,5184.392578125,4958.628025423093
69,2020-10-01,5613,5258.44970703125,5086.2212531414125
70,2020-11-01,5613,5331.96533203125,5029.753481147935
71,2020-12-01,5792,5405.53466796875,5205.3661308977735
