"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2010"	"2010"	76	4779736	1.6
	"Alabama"	"01"	"2011"	"2011"	85	4802740	1.8
	"Alabama"	"01"	"2012"	"2012"	53	4822023	1.1
	"Alabama"	"01"	"2013"	"2013"	73	4833722	1.5
	"Alabama"	"01"	"2014"	"2014"	118	4849377	2.4
	"Alabama"	"01"	"2015"	"2015"	124	4858979	2.6
	"Alabama"	"01"	"2016"	"2016"	121	4863300	2.5
	"Alabama"	"01"	"2017"	"2017"	133	4874747	2.7
	"Alabama"	"01"	"2018"	"2018"	139	4887871	2.8
	"Alabama"	"01"	"2019"	"2019"	138	4903185	2.8
	"Alabama"	"01"	"2020 "	"2020"	183	4921532	3.7
	"Alaska"	"02"	"2010"	"2010"	59	710231	8.3
	"Alaska"	"02"	"2011"	"2011"	64	722718	8.9
	"Alaska"	"02"	"2012"	"2012"	54	731449	7.4
	"Alaska"	"02"	"2013"	"2013"	63	735132	8.6
	"Alaska"	"02"	"2014"	"2014"	73	736732	9.9
	"Alaska"	"02"	"2015"	"2015"	82	738432	11.1
	"Alaska"	"02"	"2016"	"2016"	78	741894	10.5
	"Alaska"	"02"	"2017"	"2017"	76	739795	10.3
	"Alaska"	"02"	"2018"	"2018"	72	737438	9.8
	"Alaska"	"02"	"2019"	"2019"	82	731545	11.2
	"Alaska"	"02"	"2020 "	"2020"	92	731158	12.6
	"Arizona"	"04"	"2010"	"2010"	270	6392017	4.2
	"Arizona"	"04"	"2011"	"2011"	250	6482505	3.9
	"Arizona"	"04"	"2012"	"2012"	282	6553255	4.3
	"Arizona"	"04"	"2013"	"2013"	278	6626624	4.2
	"Arizona"	"04"	"2014"	"2014"	288	6731484	4.3
	"Arizona"	"04"	"2015"	"2015"	316	6828065	4.6
	"Arizona"	"04"	"2016"	"2016"	396	6931071	5.7
	"Arizona"	"04"	"2017"	"2017"	363	7016270	5.2
	"Arizona"	"04"	"2018"	"2018"	477	7171646	6.7
	"Arizona"	"04"	"2019"	"2019"	563	7278717	7.7
	"Arizona"	"04"	"2020 "	"2020"	686	7421401	9.2
	"Arkansas"	"05"	"2010"	"2010"	85	2915918	2.9
	"Arkansas"	"05"	"2011"	"2011"	70	2937979	2.4
	"Arkansas"	"05"	"2012"	"2012"	80	2949131	2.7
	"Arkansas"	"05"	"2013"	"2013"	66	2959373	2.2
	"Arkansas"	"05"	"2014"	"2014"	85	2966369	2.9
	"Arkansas"	"05"	"2015"	"2015"	66	2978204	2.2
	"Arkansas"	"05"	"2016"	"2016"	112	2988248	3.7
	"Arkansas"	"05"	"2017"	"2017"	101	3004279	3.4
