"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2015"	"2015/01"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2015"	"2015/02"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2015"	"2015/03"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2015"	"2015/04"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2015"	"2015/05"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2015"	"2015/06"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2015"	"2015/07"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2015"	"2015/08"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2015"	"2015/09"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2015"	"2015/10"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2015"	"2015/11"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2015"	"2015/12"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	41	Not Applicable	Not Applicable
