"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2021 (provisional)"	"2021/01"	68	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2021 (provisional)"	"2021/02"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2021 (provisional)"	"2021/03"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2021 (provisional)"	"2021/04"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2021 (provisional)"	"2021/05"	84	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2021 (provisional)"	"2021/06"	78	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2021 (provisional)"	"2021/07"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2021 (provisional)"	"2021/08"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2021 (provisional)"	"2021/09"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			637	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2021 (provisional)"	"2021/01"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2021 (provisional)"	"2021/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2021 (provisional)"	"2021/03"	22	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2021 (provisional)"	"2021/04"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2021 (provisional)"	"2021/05"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2021 (provisional)"	"2021/06"	17	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2021 (provisional)"	"2021/07"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2021 (provisional)"	"2021/08"	19	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2021 (provisional)"	"2021/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2021 (provisional)"	"2021/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2021 (provisional)"	"2021/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2021 (provisional)"	"2021/12"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2022 (provisional)"	"2022/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2022 (provisional and partial)"	"2022/02"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"			142	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2021 (provisional)"	"2021/01"	167	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2021 (provisional)"	"2021/02"	134	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2021 (provisional)"	"2021/03"	168	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2021 (provisional)"	"2021/04"	168	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2021 (provisional)"	"2021/05"	203	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2021 (provisional)"	"2021/06"	189	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2021 (provisional)"	"2021/07"	180	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2021 (provisional)"	"2021/08"	195	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2021 (provisional)"	"2021/09"	23	Not Applicable	Not Applicable
