"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2010"	"2010"	58	4779736	1.2
	"Alabama"	"01"	"2011"	"2011"	48	4802740	1.0
	"Alabama"	"01"	"2012"	"2012"	40	4822023	0.8
	"Alabama"	"01"	"2013"	"2013"	41	4833722	0.8
	"Alabama"	"01"	"2014"	"2014"	69	4849377	1.4
	"Alabama"	"01"	"2015"	"2015"	52	4858979	1.1
	"Alabama"	"01"	"2016"	"2016"	69	4863300	1.4
	"Alabama"	"01"	"2017"	"2017"	122	4874747	2.5
	"Alabama"	"01"	"2018"	"2018"	84	4887871	1.7
	"Alabama"	"01"	"2019"	"2019"	93	4903185	1.9
	"Alabama"	"01"	"2020 "	"2020"	96	4921532	2.0
	"Alaska"	"02"	"2010"	"2010"	36	710231	5.1
	"Alaska"	"02"	"2011"	"2011"	29	722718	4.0
	"Alaska"	"02"	"2012"	"2012"	24	731449	3.3
	"Alaska"	"02"	"2013"	"2013"	27	735132	3.7
	"Alaska"	"02"	"2014"	"2014"	26	736732	3.5
	"Alaska"	"02"	"2015"	"2015"	21	738432	2.8
	"Alaska"	"02"	"2016"	"2016"	26	741894	3.5
	"Alaska"	"02"	"2017"	"2017"	31	739795	4.2
	"Alaska"	"02"	"2018"	"2018"	30	737438	4.1
	"Alaska"	"02"	"2019"	"2019"	22	731545	3.0
	"Alaska"	"02"	"2020 "	"2020"	24	731158	3.3
	"Arizona"	"04"	"2010"	"2010"	167	6392017	2.6
	"Arizona"	"04"	"2011"	"2011"	103	6482505	1.6
	"Arizona"	"04"	"2012"	"2012"	128	6553255	2.0
	"Arizona"	"04"	"2013"	"2013"	102	6626624	1.5
	"Arizona"	"04"	"2014"	"2014"	137	6731484	2.0
	"Arizona"	"04"	"2015"	"2015"	168	6828065	2.5
	"Arizona"	"04"	"2016"	"2016"	222	6931071	3.2
	"Arizona"	"04"	"2017"	"2017"	282	7016270	4.0
	"Arizona"	"04"	"2018"	"2018"	269	7171646	3.8
	"Arizona"	"04"	"2019"	"2019"	245	7278717	3.4
	"Arizona"	"04"	"2020 "	"2020"	255	7421401	3.4
	"Arkansas"	"05"	"2010"	"2010"	116	2915918	4.0
	"Arkansas"	"05"	"2011"	"2011"	92	2937979	3.1
	"Arkansas"	"05"	"2012"	"2012"	92	2949131	3.1
	"Arkansas"	"05"	"2013"	"2013"	121	2959373	4.1
	"Arkansas"	"05"	"2014"	"2014"	105	2966369	3.5
	"Arkansas"	"05"	"2015"	"2015"	123	2978204	4.1
	"Arkansas"	"05"	"2016"	"2016"	95	2988248	3.2
	"Arkansas"	"05"	"2017"	"2017"	112	3004279	3.7
	"Arkansas"	"05"	"2018"	"2018"	97	3013825	3.2
	"Arkansas"	"05"	"2019"	"2019"	73	3017804	2.4
	"Arkansas"	"05"	"2020 "	"2020"	102	3030522	3.4
	"California"	"06"	"2010"	"2010"	503	37253956	1.4
	"California"	"06"	"2011"	"2011"	501	37691912	1.3
	"California"	"06"	"2012"	"2012"	481	38041430	1.3
	"California"	"06"	"2013"	"2013"	512	38332521	1.3
	"California"	"06"	"2014"	"2014"	526	38802500	1.4
	"California"	"06"	"2015"	"2015"	551	39144818	1.4
	"California"	"06"	"2016"	"2016"	587	39250017	1.5
	"California"	"06"	"2017"	"2017"	634	39536653	1.6
	"California"	"06"	"2018"	"2018"	570	39557045	1.4
	"California"	"06"	"2019"	"2019"	656	39512223	1.7
	"California"	"06"	"2020 "	"2020"	924	39368078	2.3
	"Colorado"	"08"	"2010"	"2010"	57	5029196	1.1
	"Colorado"	"08"	"2011"	"2011"	58	5116796	1.1
	"Colorado"	"08"	"2012"	"2012"	45	5187582	0.9
	"Colorado"	"08"	"2013"	"2013"	73	5268367	1.4
	"Colorado"	"08"	"2014"	"2014"	114	5355866	2.1
	"Colorado"	"08"	"2015"	"2015"	100	5456574	1.8
	"Colorado"	"08"	"2016"	"2016"	132	5540545	2.4
	"Colorado"	"08"	"2017"	"2017"	116	5607154	2.1
	"Colorado"	"08"	"2018"	"2018"	119	5695564	2.1
	"Colorado"	"08"	"2019"	"2019"	117	5758736	2.0
	"Colorado"	"08"	"2020 "	"2020"	163	5807719	2.8
	"Connecticut"	"09"	"2010"	"2010"	25	3574097	0.7
	"Connecticut"	"09"	"2011"	"2011"	Suppressed	3580709	Suppressed
	"Connecticut"	"09"	"2012"	"2012"	Suppressed	3590347	Suppressed
	"Connecticut"	"09"	"2013"	"2013"	79	3596080	2.2
	"Connecticut"	"09"	"2014"	"2014"	162	3596677	4.5
	"Connecticut"	"09"	"2015"	"2015"	245	3590886	6.8
	"Connecticut"	"09"	"2016"	"2016"	257	3576452	7.2
	"Connecticut"	"09"	"2017"	"2017"	332	3588184	9.3
	"Connecticut"	"09"	"2018"	"2018"	295	3572665	8.3
	"Connecticut"	"09"	"2019"	"2019"	327	3565287	9.2
	"Connecticut"	"09"	"2020 "	"2020"	323	3557006	9.1
	"Delaware"	"10"	"2010"	"2010"	21	897934	2.3
	"Delaware"	"10"	"2011"	"2011"	18	907135	Unreliable
	"Delaware"	"10"	"2012"	"2012"	16	917092	Unreliable
	"Delaware"	"10"	"2013"	"2013"	17	925749	Unreliable
	"Delaware"	"10"	"2014"	"2014"	Suppressed	935614	Suppressed
	"Delaware"	"10"	"2015"	"2015"	Suppressed	945934	Suppressed
	"Delaware"	"10"	"2016"	"2016"	11	952065	Unreliable
	"Delaware"	"10"	"2017"	"2017"	20	961939	2.1
	"Delaware"	"10"	"2018"	"2018"	39	967171	4.0
	"Delaware"	"10"	"2019"	"2019"	22	973764	2.3
	"Delaware"	"10"	"2020 "	"2020"	37	986809	3.7
	"District of Columbia"	"11"	"2010"	"2010"	Suppressed	601723	Suppressed
	"District of Columbia"	"11"	"2011"	"2011"	Suppressed	617996	Suppressed
	"District of Columbia"	"11"	"2012"	"2012"	Suppressed	632323	Suppressed
	"District of Columbia"	"11"	"2013"	"2013"	Suppressed	646449	Suppressed
	"District of Columbia"	"11"	"2014"	"2014"	Suppressed	658893	Suppressed
	"District of Columbia"	"11"	"2015"	"2015"	Suppressed	672228	Suppressed
	"District of Columbia"	"11"	"2016"	"2016"	18	681170	Unreliable
	"District of Columbia"	"11"	"2017"	"2017"	19	693972	Unreliable
	"District of Columbia"	"11"	"2018"	"2018"	Suppressed	702455	Suppressed
	"District of Columbia"	"11"	"2019"	"2019"	13	705749	Unreliable
	"District of Columbia"	"11"	"2020 "	"2020"	19	712816	Unreliable
	"Florida"	"12"	"2010"	"2010"	888	18801310	4.7
	"Florida"	"12"	"2011"	"2011"	818	19057542	4.3
	"Florida"	"12"	"2012"	"2012"	622	19317568	3.2
	"Florida"	"12"	"2013"	"2013"	529	19552860	2.7
	"Florida"	"12"	"2014"	"2014"	512	19893297	2.6
	"Florida"	"12"	"2015"	"2015"	595	20271272	2.9
	"Florida"	"12"	"2016"	"2016"	721	20612439	3.5
	"Florida"	"12"	"2017"	"2017"	791	20984400	3.8
	"Florida"	"12"	"2018"	"2018"	730	21299325	3.4
	"Florida"	"12"	"2019"	"2019"	703	21477737	3.3
	"Florida"	"12"	"2020 "	"2020"	867	21733312	4.0
	"Georgia"	"13"	"2010"	"2010"	201	9687653	2.1
	"Georgia"	"13"	"2011"	"2011"	213	9815210	2.2
	"Georgia"	"13"	"2012"	"2012"	188	9919945	1.9
	"Georgia"	"13"	"2013"	"2013"	208	9992167	2.1
	"Georgia"	"13"	"2014"	"2014"	200	10097343	2.0
	"Georgia"	"13"	"2015"	"2015"	258	10214860	2.5
	"Georgia"	"13"	"2016"	"2016"	277	10310371	2.7
	"Georgia"	"13"	"2017"	"2017"	314	10429379	3.0
	"Georgia"	"13"	"2018"	"2018"	256	10519475	2.4
	"Georgia"	"13"	"2019"	"2019"	191	10617423	1.8
	"Georgia"	"13"	"2020 "	"2020"	285	10710017	2.7
	"Hawaii"	"15"	"2010"	"2010"	17	1360301	Unreliable
	"Hawaii"	"15"	"2011"	"2011"	21	1374810	1.5
	"Hawaii"	"15"	"2012"	"2012"	26	1392313	1.9
	"Hawaii"	"15"	"2013"	"2013"	24	1404054	1.7
	"Hawaii"	"15"	"2014"	"2014"	26	1419561	1.8
	"Hawaii"	"15"	"2015"	"2015"	18	1431603	Unreliable
	"Hawaii"	"15"	"2016"	"2016"	41	1428557	2.9
	"Hawaii"	"15"	"2017"	"2017"	30	1427538	2.1
	"Hawaii"	"15"	"2018"	"2018"	19	1420491	Unreliable
