"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2010"	"2010"	32	4779736	0.7
	"Alabama"	"01"	"2011"	"2011"	28	4802740	0.6
	"Alabama"	"01"	"2012"	"2012"	23	4822023	0.5
	"Alabama"	"01"	"2013"	"2013"	39	4833722	0.8
	"Alabama"	"01"	"2014"	"2014"	44	4849377	0.9
	"Alabama"	"01"	"2015"	"2015"	44	4858979	0.9
	"Alabama"	"01"	"2016"	"2016"	91	4863300	1.9
	"Alabama"	"01"	"2017"	"2017"	125	4874747	2.6
	"Alabama"	"01"	"2018"	"2018"	98	4887871	2.0
	"Alabama"	"01"	"2019"	"2019"	108	4903185	2.2
	"Alabama"	"01"	"2020 "	"2020"	155	4921532	3.1
	"Alaska"	"02"	"2010"	"2010"	19	710231	Unreliable
	"Alaska"	"02"	"2011"	"2011"	13	722718	Unreliable
	"Alaska"	"02"	"2012"	"2012"	22	731449	3.0
	"Alaska"	"02"	"2013"	"2013"	13	735132	Unreliable
	"Alaska"	"02"	"2014"	"2014"	11	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	12	738432	Unreliable
	"Alaska"	"02"	"2016"	"2016"	17	741894	Unreliable
	"Alaska"	"02"	"2017"	"2017"	18	739795	Unreliable
	"Alaska"	"02"	"2018"	"2018"	11	737438	Unreliable
	"Alaska"	"02"	"2019"	"2019"	14	731545	Unreliable
	"Alaska"	"02"	"2020 "	"2020"	25	731158	3.4
	"Arizona"	"04"	"2010"	"2010"	76	6392017	1.2
	"Arizona"	"04"	"2011"	"2011"	63	6482505	1.0
	"Arizona"	"04"	"2012"	"2012"	62	6553255	0.9
	"Arizona"	"04"	"2013"	"2013"	57	6626624	0.9
	"Arizona"	"04"	"2014"	"2014"	58	6731484	0.9
	"Arizona"	"04"	"2015"	"2015"	68	6828065	1.0
	"Arizona"	"04"	"2016"	"2016"	89	6931071	1.3
	"Arizona"	"04"	"2017"	"2017"	142	7016270	2.0
	"Arizona"	"04"	"2018"	"2018"	179	7171646	2.5
	"Arizona"	"04"	"2019"	"2019"	182	7278717	2.5
	"Arizona"	"04"	"2020 "	"2020"	210	7421401	2.8
	"Arkansas"	"05"	"2010"	"2010"	21	2915918	0.7
	"Arkansas"	"05"	"2011"	"2011"	16	2937979	Unreliable
	"Arkansas"	"05"	"2012"	"2012"	17	2949131	Unreliable
	"Arkansas"	"05"	"2013"	"2013"	15	2959373	Unreliable
	"Arkansas"	"05"	"2014"	"2014"	10	2966369	Unreliable
	"Arkansas"	"05"	"2015"	"2015"	18	2978204	Unreliable
	"Arkansas"	"05"	"2016"	"2016"	12	2988248	Unreliable
	"Arkansas"	"05"	"2017"	"2017"	27	3004279	0.9
	"Arkansas"	"05"	"2018"	"2018"	28	3013825	0.9
	"Arkansas"	"05"	"2019"	"2019"	31	3017804	1.0
	"Arkansas"	"05"	"2020 "	"2020"	39	3030522	1.3
	"California"	"06"	"2010"	"2010"	306	37253956	0.8
	"California"	"06"	"2011"	"2011"	311	37691912	0.8
	"California"	"06"	"2012"	"2012"	266	38041430	0.7
	"California"	"06"	"2013"	"2013"	302	38332521	0.8
	"California"	"06"	"2014"	"2014"	340	38802500	0.9
	"California"	"06"	"2015"	"2015"	363	39144818	0.9
	"California"	"06"	"2016"	"2016"	456	39250017	1.2
	"California"	"06"	"2017"	"2017"	511	39536653	1.3
	"California"	"06"	"2018"	"2018"	679	39557045	1.7
	"California"	"06"	"2019"	"2019"	953	39512223	2.4
	"California"	"06"	"2020 "	"2020"	1284	39368078	3.3
	"Colorado"	"08"	"2010"	"2010"	77	5029196	1.5
	"Colorado"	"08"	"2011"	"2011"	98	5116796	1.9
	"Colorado"	"08"	"2012"	"2012"	70	5187582	1.3
	"Colorado"	"08"	"2013"	"2013"	64	5268367	1.2
	"Colorado"	"08"	"2014"	"2014"	85	5355866	1.6
	"Colorado"	"08"	"2015"	"2015"	72	5456574	1.3
	"Colorado"	"08"	"2016"	"2016"	119	5540545	2.1
	"Colorado"	"08"	"2017"	"2017"	109	5607154	1.9
	"Colorado"	"08"	"2018"	"2018"	149	5695564	2.6
	"Colorado"	"08"	"2019"	"2019"	155	5758736	2.7
	"Colorado"	"08"	"2020 "	"2020"	244	5807719	4.2
	"Connecticut"	"09"	"2010"	"2010"	55	3574097	1.5
	"Connecticut"	"09"	"2011"	"2011"	80	3580709	2.2
	"Connecticut"	"09"	"2012"	"2012"	74	3590347	2.1
	"Connecticut"	"09"	"2013"	"2013"	147	3596080	4.1
	"Connecticut"	"09"	"2014"	"2014"	124	3596677	3.4
	"Connecticut"	"09"	"2015"	"2015"	171	3590886	4.8
	"Connecticut"	"09"	"2016"	"2016"	245	3576452	6.9
	"Connecticut"	"09"	"2017"	"2017"	295	3588184	8.2
	"Connecticut"	"09"	"2018"	"2018"	314	3572665	8.8
	"Connecticut"	"09"	"2019"	"2019"	381	3565287	10.7
	"Connecticut"	"09"	"2020 "	"2020"	424	3557006	11.9
	"Delaware"	"10"	"2010"	"2010"	27	897934	3.0
	"Delaware"	"10"	"2011"	"2011"	15	907135	Unreliable
	"Delaware"	"10"	"2012"	"2012"	26	917092	2.8
	"Delaware"	"10"	"2013"	"2013"	20	925749	2.2
	"Delaware"	"10"	"2014"	"2014"	21	935614	2.2
	"Delaware"	"10"	"2015"	"2015"	26	945934	2.7
	"Delaware"	"10"	"2016"	"2016"	58	952065	6.1
	"Delaware"	"10"	"2017"	"2017"	112	961939	11.6
	"Delaware"	"10"	"2018"	"2018"	142	967171	14.7
	"Delaware"	"10"	"2019"	"2019"	170	973764	17.5
	"Delaware"	"10"	"2020 "	"2020"	150	986809	15.2
	"District of Columbia"	"11"	"2010"	"2010"	41	601723	6.8
	"District of Columbia"	"11"	"2011"	"2011"	34	617996	5.5
	"District of Columbia"	"11"	"2012"	"2012"	31	632323	4.9
	"District of Columbia"	"11"	"2013"	"2013"	32	646449	5.0
	"District of Columbia"	"11"	"2014"	"2014"	36	658893	5.5
	"District of Columbia"	"11"	"2015"	"2015"	34	672228	5.1
	"District of Columbia"	"11"	"2016"	"2016"	91	681170	13.4
	"District of Columbia"	"11"	"2017"	"2017"	127	693972	18.3
	"District of Columbia"	"11"	"2018"	"2018"	106	702455	15.1
	"District of Columbia"	"11"	"2019"	"2019"	130	705749	18.4
	"District of Columbia"	"11"	"2020 "	"2020"	144	712816	20.2
	"Florida"	"12"	"2010"	"2010"	379	18801310	2.0
	"Florida"	"12"	"2011"	"2011"	439	19057542	2.3
	"Florida"	"12"	"2012"	"2012"	378	19317568	2.0
	"Florida"	"12"	"2013"	"2013"	405	19552860	2.1
	"Florida"	"12"	"2014"	"2014"	458	19893297	2.3
	"Florida"	"12"	"2015"	"2015"	605	20271272	3.0
	"Florida"	"12"	"2016"	"2016"	1105	20612439	5.4
	"Florida"	"12"	"2017"	"2017"	1407	20984400	6.7
	"Florida"	"12"	"2018"	"2018"	1311	21299325	6.2
	"Florida"	"12"	"2019"	"2019"	1496	21477737	7.0
	"Florida"	"12"	"2020 "	"2020"	1978	21733312	9.1
	"Georgia"	"13"	"2010"	"2010"	121	9687653	1.2
	"Georgia"	"13"	"2011"	"2011"	111	9815210	1.1
	"Georgia"	"13"	"2012"	"2012"	116	9919945	1.2
	"Georgia"	"13"	"2013"	"2013"	127	9992167	1.3
	"Georgia"	"13"	"2014"	"2014"	156	10097343	1.5
	"Georgia"	"13"	"2015"	"2015"	171	10214860	1.7
	"Georgia"	"13"	"2016"	"2016"	221	10310371	2.1
	"Georgia"	"13"	"2017"	"2017"	279	10429379	2.7
	"Georgia"	"13"	"2018"	"2018"	313	10519475	3.0
	"Georgia"	"13"	"2019"	"2019"	324	10617423	3.1
	"Georgia"	"13"	"2020 "	"2020"	359	10710017	3.4
	"Hawaii"	"15"	"2010"	"2010"	11	1360301	Unreliable
	"Hawaii"	"15"	"2011"	"2011"	Suppressed	1374810	Suppressed
	"Hawaii"	"15"	"2012"	"2012"	Suppressed	1392313	Suppressed
	"Hawaii"	"15"	"2013"	"2013"	10	1404054	Unreliable
	"Hawaii"	"15"	"2014"	"2014"	Suppressed	1419561	Suppressed
	"Hawaii"	"15"	"2015"	"2015"	Suppressed	1431603	Suppressed
	"Hawaii"	"15"	"2016"	"2016"	Suppressed	1428557	Suppressed
	"Hawaii"	"15"	"2017"	"2017"	11	1427538	Unreliable
	"Hawaii"	"15"	"2018"	"2018"	14	1420491	Unreliable
	"Hawaii"	"15"	"2019"	"2019"	14	1415872	Unreliable
	"Hawaii"	"15"	"2020 "	"2020"	18	1407006	Unreliable
	"Idaho"	"16"	"2010"	"2010"	Suppressed	1567582	Suppressed
	"Idaho"	"16"	"2011"	"2011"	Suppressed	1584985	Suppressed
	"Idaho"	"16"	"2012"	"2012"	Suppressed	1595728	Suppressed
	"Idaho"	"16"	"2013"	"2013"	Suppressed	1612136	Suppressed
	"Idaho"	"16"	"2014"	"2014"	Suppressed	1634464	Suppressed
	"Idaho"	"16"	"2015"	"2015"	Suppressed	1654930	Suppressed
	"Idaho"	"16"	"2016"	"2016"	Suppressed	1683140	Suppressed
	"Idaho"	"16"	"2017"	"2017"	Suppressed	1716943	Suppressed
	"Idaho"	"16"	"2018"	"2018"	Suppressed	1754208	Suppressed
	"Idaho"	"16"	"2019"	"2019"	Suppressed	1787065	Suppressed
	"Idaho"	"16"	"2020 "	"2020"	Suppressed	1826913	Suppressed
	"Illinois"	"17"	"2010"	"2010"	366	12830632	2.9
	"Illinois"	"17"	"2011"	"2011"	370	12869257	2.9
	"Illinois"	"17"	"2012"	"2012"	415	12875255	3.2
	"Illinois"	"17"	"2013"	"2013"	339	12882135	2.6
	"Illinois"	"17"	"2014"	"2014"	323	12880580	2.5
	"Illinois"	"17"	"2015"	"2015"	359	12859995	2.8
	"Illinois"	"17"	"2016"	"2016"	548	12801539	4.3
	"Illinois"	"17"	"2017"	"2017"	791	12802023	6.2
	"Illinois"	"17"	"2018"	"2018"	821	12741080	6.4
	"Illinois"	"17"	"2019"	"2019"	921	12671821	7.3
	"Illinois"	"17"	"2020 "	"2020"	1168	12587530	9.3
	"Indiana"	"18"	"2010"	"2010"	49	6483802	0.8
	"Indiana"	"18"	"2011"	"2011"	40	6516922	0.6
	"Indiana"	"18"	"2012"	"2012"	44	6537334	0.7
	"Indiana"	"18"	"2013"	"2013"	54	6570902	0.8
	"Indiana"	"18"	"2014"	"2014"	60	6596855	0.9
	"Indiana"	"18"	"2015"	"2015"	72	6619680	1.1
	"Indiana"	"18"	"2016"	"2016"	121	6633053	1.8
	"Indiana"	"18"	"2017"	"2017"	265	6666818	4.0
	"Indiana"	"18"	"2018"	"2018"	269	6691878	4.0
	"Indiana"	"18"	"2019"	"2019"	295	6732219	4.4
	"Indiana"	"18"	"2020 "	"2020"	335	6754953	5.0
	"Iowa"	"19"	"2010"	"2010"	31	3046355	1.0
	"Iowa"	"19"	"2011"	"2011"	Suppressed	3062309	Suppressed
	"Iowa"	"19"	"2012"	"2012"	14	3074186	Unreliable
	"Iowa"	"19"	"2013"	"2013"	17	3090416	Unreliable
	"Iowa"	"19"	"2014"	"2014"	19	3107126	Unreliable
	"Iowa"	"19"	"2015"	"2015"	19	3123899	Unreliable
	"Iowa"	"19"	"2016"	"2016"	20	3134693	0.6
	"Iowa"	"19"	"2017"	"2017"	19	3145711	Unreliable
	"Iowa"	"19"	"2018"	"2018"	14	3156145	Unreliable
	"Iowa"	"19"	"2019"	"2019"	23	3155070	0.7
	"Iowa"	"19"	"2020 "	"2020"	33	3163561	1.0
	"Kansas"	"20"	"2010"	"2010"	18	2853118	Unreliable
	"Kansas"	"20"	"2011"	"2011"	27	2871238	0.9
	"Kansas"	"20"	"2012"	"2012"	13	2885905	Unreliable
	"Kansas"	"20"	"2013"	"2013"	17	2893957	Unreliable
	"Kansas"	"20"	"2014"	"2014"	19	2904021	Unreliable
	"Kansas"	"20"	"2015"	"2015"	19	2911641	Unreliable
	"Kansas"	"20"	"2016"	"2016"	15	2907289	Unreliable
	"Kansas"	"20"	"2017"	"2017"	30	2913123	1.0
