"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2010"	"2010"	Suppressed	54571	Suppressed
	"Autauga County, AL"	"01001"	"2011"	"2011"	Suppressed	55267	Suppressed
	"Autauga County, AL"	"01001"	"2012"	"2012"	Suppressed	55514	Suppressed
	"Autauga County, AL"	"01001"	"2013"	"2013"	Suppressed	55246	Suppressed
	"Autauga County, AL"	"01001"	"2014"	"2014"	Suppressed	55395	Suppressed
	"Autauga County, AL"	"01001"	"2015"	"2015"	Suppressed	55347	Suppressed
	"Autauga County, AL"	"01001"	"2016"	"2016"	Suppressed	55416	Suppressed
	"Autauga County, AL"	"01001"	"2017"	"2017"	Suppressed	55504	Suppressed
	"Autauga County, AL"	"01001"	"2018"	"2018"	Suppressed	55601	Suppressed
	"Autauga County, AL"	"01001"	"2019"	"2019"	Suppressed	55869	Suppressed
	"Autauga County, AL"	"01001"	"2020 "	"2020"	Suppressed	56145	Suppressed
	"Baldwin County, AL"	"01003"	"2010"	"2010"	27	182265	14.8
	"Baldwin County, AL"	"01003"	"2011"	"2011"	26	186717	13.9
	"Baldwin County, AL"	"01003"	"2012"	"2012"	35	190790	18.3
	"Baldwin County, AL"	"01003"	"2013"	"2013"	23	195540	11.8
	"Baldwin County, AL"	"01003"	"2014"	"2014"	41	200111	20.5
	"Baldwin County, AL"	"01003"	"2015"	"2015"	44	203709	21.6
	"Baldwin County, AL"	"01003"	"2016"	"2016"	32	208563	15.3
	"Baldwin County, AL"	"01003"	"2017"	"2017"	29	212628	13.6
	"Baldwin County, AL"	"01003"	"2018"	"2018"	29	218022	13.3
	"Baldwin County, AL"	"01003"	"2019"	"2019"	27	223234	12.1
	"Baldwin County, AL"	"01003"	"2020 "	"2020"	63	229287	27.5
	"Barbour County, AL"	"01005"	"2010"	"2010"	Suppressed	27457	Suppressed
	"Barbour County, AL"	"01005"	"2011"	"2011"	Suppressed	27119	Suppressed
	"Barbour County, AL"	"01005"	"2012"	"2012"	Suppressed	27201	Suppressed
	"Barbour County, AL"	"01005"	"2013"	"2013"	Suppressed	27076	Suppressed
	"Barbour County, AL"	"01005"	"2014"	"2014"	Suppressed	26887	Suppressed
	"Barbour County, AL"	"01005"	"2015"	"2015"	Suppressed	26489	Suppressed
	"Barbour County, AL"	"01005"	"2016"	"2016"	Suppressed	25965	Suppressed
	"Barbour County, AL"	"01005"	"2017"	"2017"	Suppressed	25270	Suppressed
	"Barbour County, AL"	"01005"	"2018"	"2018"	Suppressed	24881	Suppressed
	"Barbour County, AL"	"01005"	"2019"	"2019"	Suppressed	24686	Suppressed
