"Notes"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"2021 (provisional)"	"2021"	Suppressed	56145	Suppressed
	"Autauga County, AL"	"01001"	"2022 (provisional and partial)"	"2022"	Suppressed	56145	Suppressed
	"Baldwin County, AL"	"01003"	"2021 (provisional)"	"2021"	69	229287	30.1
	"Baldwin County, AL"	"01003"	"2022 (provisional and partial)"	"2022"	Suppressed	229287	Suppressed
	"Barbour County, AL"	"01005"	"2021 (provisional)"	"2021"	Suppressed	24589	Suppressed
	"Barbour County, AL"	"01005"	"2022 (provisional and partial)"	"2022"	Suppressed	24589	Suppressed
	"Bibb County, AL"	"01007"	"2021 (provisional)"	"2021"	Suppressed	22136	Suppressed
	"Bibb County, AL"	"01007"	"2022 (provisional and partial)"	"2022"	Suppressed	22136	Suppressed
	"Blount County, AL"	"01009"	"2021 (provisional)"	"2021"	11	57879	Unreliable
	"Blount County, AL"	"01009"	"2022 (provisional and partial)"	"2022"	Suppressed	57879	Suppressed
	"Bullock County, AL"	"01011"	"2021 (provisional)"	"2021"	Suppressed	9976	Suppressed
	"Bullock County, AL"	"01011"	"2022 (provisional and partial)"	"2022"	Suppressed	9976	Suppressed
	"Butler County, AL"	"01013"	"2021 (provisional)"	"2021"	Suppressed	19504	Suppressed
	"Butler County, AL"	"01013"	"2022 (provisional and partial)"	"2022"	Suppressed	19504	Suppressed
	"Calhoun County, AL"	"01015"	"2021 (provisional)"	"2021"	23	113469	20.3
	"Calhoun County, AL"	"01015"	"2022 (provisional and partial)"	"2022"	Suppressed	113469	Suppressed
	"Chambers County, AL"	"01017"	"2021 (provisional)"	"2021"	Suppressed	32865	Suppressed
	"Chambers County, AL"	"01017"	"2022 (provisional and partial)"	"2022"	Suppressed	32865	Suppressed
	"Cherokee County, AL"	"01019"	"2021 (provisional)"	"2021"	Suppressed	26294	Suppressed
	"Cherokee County, AL"	"01019"	"2022 (provisional and partial)"	"2022"	Suppressed	26294	Suppressed
	"Chilton County, AL"	"01021"	"2021 (provisional)"	"2021"	Suppressed	44397	Suppressed
