"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2010"	"2010"	Suppressed	4779736	Suppressed
	"Alabama"	"01"	"2011"	"2011"	14	4802740	Unreliable
	"Alabama"	"01"	"2012"	"2012"	36	4822023	0.7
	"Alabama"	"01"	"2013"	"2013"	42	4833722	0.9
	"Alabama"	"01"	"2014"	"2014"	125	4849377	2.6
	"Alabama"	"01"	"2015"	"2015"	111	4858979	2.3
	"Alabama"	"01"	"2016"	"2016"	129	4863300	2.7
	"Alabama"	"01"	"2017"	"2017"	126	4874747	2.6
	"Alabama"	"01"	"2018"	"2018"	140	4887871	2.9
	"Alabama"	"01"	"2019"	"2019"	141	4903185	2.9
	"Alabama"	"01"	"2020 "	"2020"	138	4921532	2.8
	"Alaska"	"02"	"2010"	"2010"	Suppressed	710231	Suppressed
	"Alaska"	"02"	"2011"	"2011"	12	722718	Unreliable
	"Alaska"	"02"	"2012"	"2012"	23	731449	3.1
	"Alaska"	"02"	"2013"	"2013"	24	735132	3.3
	"Alaska"	"02"	"2014"	"2014"	25	736732	3.4
	"Alaska"	"02"	"2015"	"2015"	38	738432	5.1
	"Alaska"	"02"	"2016"	"2016"	51	741894	6.9
	"Alaska"	"02"	"2017"	"2017"	38	739795	5.1
	"Alaska"	"02"	"2018"	"2018"	32	737438	4.3
	"Alaska"	"02"	"2019"	"2019"	47	731545	6.4
	"Alaska"	"02"	"2020 "	"2020"	36	731158	4.9
	"Arizona"	"04"	"2010"	"2010"	91	6392017	1.4
	"Arizona"	"04"	"2011"	"2011"	118	6482505	1.8
	"Arizona"	"04"	"2012"	"2012"	102	6553255	1.6
	"Arizona"	"04"	"2013"	"2013"	147	6626624	2.2
	"Arizona"	"04"	"2014"	"2014"	199	6731484	3.0
	"Arizona"	"04"	"2015"	"2015"	252	6828065	3.7
	"Arizona"	"04"	"2016"	"2016"	304	6931071	4.4
	"Arizona"	"04"	"2017"	"2017"	346	7016270	4.9
	"Arizona"	"04"	"2018"	"2018"	362	7171646	5.0
	"Arizona"	"04"	"2019"	"2019"	278	7278717	3.8
	"Arizona"	"04"	"2020 "	"2020"	225	7421401	3.0
	"Arkansas"	"05"	"2010"	"2010"	Suppressed	2915918	Suppressed
	"Arkansas"	"05"	"2011"	"2011"	Suppressed	2937979	Suppressed
	"Arkansas"	"05"	"2012"	"2012"	Suppressed	2949131	Suppressed
	"Arkansas"	"05"	"2013"	"2013"	Suppressed	2959373	Suppressed
	"Arkansas"	"05"	"2014"	"2014"	Suppressed	2966369	Suppressed
	"Arkansas"	"05"	"2015"	"2015"	Suppressed	2978204	Suppressed
	"Arkansas"	"05"	"2016"	"2016"	13	2988248	Unreliable
	"Arkansas"	"05"	"2017"	"2017"	15	3004279	Unreliable
	"Arkansas"	"05"	"2018"	"2018"	19	3013825	Unreliable
	"Arkansas"	"05"	"2019"	"2019"	33	3017804	1.1
	"Arkansas"	"05"	"2020 "	"2020"	21	3030522	0.7
	"California"	"06"	"2010"	"2010"	334	37253956	0.9
	"California"	"06"	"2011"	"2011"	372	37691912	1.0
	"California"	"06"	"2012"	"2012"	368	38041430	1.0
	"California"	"06"	"2013"	"2013"	497	38332521	1.3
	"California"	"06"	"2014"	"2014"	578	38802500	1.5
	"California"	"06"	"2015"	"2015"	609	39144818	1.6
	"California"	"06"	"2016"	"2016"	606	39250017	1.5
	"California"	"06"	"2017"	"2017"	739	39536653	1.9
	"California"	"06"	"2018"	"2018"	804	39557045	2.0
	"California"	"06"	"2019"	"2019"	988	39512223	2.5
	"California"	"06"	"2020 "	"2020"	1032	39368078	2.6
	"Colorado"	"08"	"2010"	"2010"	46	5029196	0.9
	"Colorado"	"08"	"2011"	"2011"	80	5116796	1.6
	"Colorado"	"08"	"2012"	"2012"	91	5187582	1.8
	"Colorado"	"08"	"2013"	"2013"	120	5268367	2.3
	"Colorado"	"08"	"2014"	"2014"	159	5355866	3.0
	"Colorado"	"08"	"2015"	"2015"	164	5456574	3.0
	"Colorado"	"08"	"2016"	"2016"	241	5540545	4.3
	"Colorado"	"08"	"2017"	"2017"	229	5607154	4.1
	"Colorado"	"08"	"2018"	"2018"	243	5695564	4.3
	"Colorado"	"08"	"2019"	"2019"	225	5758736	3.9
	"Colorado"	"08"	"2020 "	"2020"	225	5807719	3.9
	"Connecticut"	"09"	"2010"	"2010"	77	3574097	2.2
	"Connecticut"	"09"	"2011"	"2011"	85	3580709	2.4
	"Connecticut"	"09"	"2012"	"2012"	98	3590347	2.7
	"Connecticut"	"09"	"2013"	"2013"	229	3596080	6.4
	"Connecticut"	"09"	"2014"	"2014"	300	3596677	8.3
	"Connecticut"	"09"	"2015"	"2015"	392	3590886	10.9
	"Connecticut"	"09"	"2016"	"2016"	455	3576452	12.7
	"Connecticut"	"09"	"2017"	"2017"	428	3588184	11.9
	"Connecticut"	"09"	"2018"	"2018"	340	3572665	9.5
	"Connecticut"	"09"	"2019"	"2019"	341	3565287	9.6
	"Connecticut"	"09"	"2020 "	"2020"	211	3557006	5.9
	"Delaware"	"10"	"2010"	"2010"	17	897934	Unreliable
	"Delaware"	"10"	"2011"	"2011"	15	907135	Unreliable
	"Delaware"	"10"	"2012"	"2012"	20	917092	2.2
	"Delaware"	"10"	"2013"	"2013"	39	925749	4.2
	"Delaware"	"10"	"2014"	"2014"	54	935614	5.8
	"Delaware"	"10"	"2015"	"2015"	66	945934	7.0
	"Delaware"	"10"	"2016"	"2016"	56	952065	5.9
	"Delaware"	"10"	"2017"	"2017"	122	961939	12.7
	"Delaware"	"10"	"2018"	"2018"	143	967171	14.8
	"Delaware"	"10"	"2019"	"2019"	109	973764	11.2
	"Delaware"	"10"	"2020 "	"2020"	91	986809	9.2
	"District of Columbia"	"11"	"2010"	"2010"	16	601723	Unreliable
	"District of Columbia"	"11"	"2011"	"2011"	24	617996	3.9
	"District of Columbia"	"11"	"2012"	"2012"	25	632323	4.0
	"District of Columbia"	"11"	"2013"	"2013"	35	646449	5.4
	"District of Columbia"	"11"	"2014"	"2014"	38	658893	5.8
	"District of Columbia"	"11"	"2015"	"2015"	67	672228	10.0
	"District of Columbia"	"11"	"2016"	"2016"	125	681170	18.4
	"District of Columbia"	"11"	"2017"	"2017"	128	693972	18.4
	"District of Columbia"	"11"	"2018"	"2018"	80	702455	11.4
	"District of Columbia"	"11"	"2019"	"2019"	88	705749	12.5
	"District of Columbia"	"11"	"2020 "	"2020"	88	712816	12.3
	"Florida"	"12"	"2010"	"2010"	52	18801310	0.3
	"Florida"	"12"	"2011"	"2011"	64	19057542	0.3
	"Florida"	"12"	"2012"	"2012"	104	19317568	0.5
	"Florida"	"12"	"2013"	"2013"	186	19552860	1.0
	"Florida"	"12"	"2014"	"2014"	350	19893297	1.8
	"Florida"	"12"	"2015"	"2015"	570	20271272	2.8
	"Florida"	"12"	"2016"	"2016"	675	20612439	3.3
	"Florida"	"12"	"2017"	"2017"	713	20984400	3.4
	"Florida"	"12"	"2018"	"2018"	692	21299325	3.2
	"Florida"	"12"	"2019"	"2019"	704	21477737	3.3
	"Florida"	"12"	"2020 "	"2020"	645	21733312	3.0
	"Georgia"	"13"	"2010"	"2010"	10	9687653	Unreliable
	"Georgia"	"13"	"2011"	"2011"	30	9815210	0.3
	"Georgia"	"13"	"2012"	"2012"	40	9919945	0.4
	"Georgia"	"13"	"2013"	"2013"	67	9992167	0.7
	"Georgia"	"13"	"2014"	"2014"	153	10097343	1.5
	"Georgia"	"13"	"2015"	"2015"	224	10214860	2.2
	"Georgia"	"13"	"2016"	"2016"	231	10310371	2.2
	"Georgia"	"13"	"2017"	"2017"	265	10429379	2.5
	"Georgia"	"13"	"2018"	"2018"	301	10519475	2.9
	"Georgia"	"13"	"2019"	"2019"	305	10617423	2.9
	"Georgia"	"13"	"2020 "	"2020"	397	10710017	3.7
	"Hawaii"	"15"	"2010"	"2010"	Suppressed	1360301	Suppressed
	"Hawaii"	"15"	"2011"	"2011"	Suppressed	1374810	Suppressed
	"Hawaii"	"15"	"2012"	"2012"	Suppressed	1392313	Suppressed
	"Hawaii"	"15"	"2013"	"2013"	10	1404054	Unreliable
	"Hawaii"	"15"	"2014"	"2014"	13	1419561	Unreliable
	"Hawaii"	"15"	"2015"	"2015"	15	1431603	Unreliable
	"Hawaii"	"15"	"2016"	"2016"	20	1428557	1.4
	"Hawaii"	"15"	"2017"	"2017"	10	1427538	Unreliable
	"Hawaii"	"15"	"2018"	"2018"	16	1420491	Unreliable
	"Hawaii"	"15"	"2019"	"2019"	19	1415872	Unreliable
	"Hawaii"	"15"	"2020 "	"2020"	22	1407006	1.6
	"Idaho"	"16"	"2010"	"2010"	Suppressed	1567582	Suppressed
	"Idaho"	"16"	"2011"	"2011"	Suppressed	1584985	Suppressed
	"Idaho"	"16"	"2012"	"2012"	Suppressed	1595728	Suppressed
	"Idaho"	"16"	"2013"	"2013"	Suppressed	1612136	Suppressed
	"Idaho"	"16"	"2014"	"2014"	11	1634464	Unreliable
	"Idaho"	"16"	"2015"	"2015"	16	1654930	Unreliable
	"Idaho"	"16"	"2016"	"2016"	25	1683140	1.5
	"Idaho"	"16"	"2017"	"2017"	23	1716943	1.3
	"Idaho"	"16"	"2018"	"2018"	29	1754208	1.7
	"Idaho"	"16"	"2019"	"2019"	40	1787065	2.2
	"Idaho"	"16"	"2020 "	"2020"	38	1826913	2.1
	"Illinois"	"17"	"2010"	"2010"	153	12830632	1.2
	"Illinois"	"17"	"2011"	"2011"	171	12869257	1.3
	"Illinois"	"17"	"2012"	"2012"	275	12875255	2.1
	"Illinois"	"17"	"2013"	"2013"	595	12882135	4.6
	"Illinois"	"17"	"2014"	"2014"	734	12880580	5.7
	"Illinois"	"17"	"2015"	"2015"	855	12859995	6.6
	"Illinois"	"17"	"2016"	"2016"	1058	12801539	8.3
	"Illinois"	"17"	"2017"	"2017"	1202	12802023	9.4
	"Illinois"	"17"	"2018"	"2018"	1062	12741080	8.3
	"Illinois"	"17"	"2019"	"2019"	992	12671821	7.8
	"Illinois"	"17"	"2020 "	"2020"	1071	12587530	8.5
	"Indiana"	"18"	"2010"	"2010"	59	6483802	0.9
	"Indiana"	"18"	"2011"	"2011"	69	6516922	1.1
