"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2010"	"2010"	26	4779736	0.5
	"Alabama"	"01"	"2011"	"2011"	14	4802740	Unreliable
	"Alabama"	"01"	"2012"	"2012"	18	4822023	Unreliable
	"Alabama"	"01"	"2013"	"2013"	26	4833722	0.5
	"Alabama"	"01"	"2014"	"2014"	32	4849377	0.7
	"Alabama"	"01"	"2015"	"2015"	46	4858979	0.9
	"Alabama"	"01"	"2016"	"2016"	66	4863300	1.4
	"Alabama"	"01"	"2017"	"2017"	128	4874747	2.6
	"Alabama"	"01"	"2018"	"2018"	169	4887871	3.5
	"Alabama"	"01"	"2019"	"2019"	245	4903185	5.0
	"Alabama"	"01"	"2020 "	"2020"	309	4921532	6.3
	"Alaska"	"02"	"2010"	"2010"	11	710231	Unreliable
	"Alaska"	"02"	"2011"	"2011"	20	722718	2.8
	"Alaska"	"02"	"2012"	"2012"	25	731449	3.4
	"Alaska"	"02"	"2013"	"2013"	22	735132	3.0
	"Alaska"	"02"	"2014"	"2014"	31	736732	4.2
	"Alaska"	"02"	"2015"	"2015"	34	738432	4.6
	"Alaska"	"02"	"2016"	"2016"	58	741894	7.8
	"Alaska"	"02"	"2017"	"2017"	82	739795	11.1
	"Alaska"	"02"	"2018"	"2018"	71	737438	9.6
	"Alaska"	"02"	"2019"	"2019"	76	731545	10.4
	"Alaska"	"02"	"2020 "	"2020"	95	731158	13.0
	"Arizona"	"04"	"2010"	"2010"	141	6392017	2.2
	"Arizona"	"04"	"2011"	"2011"	166	6482505	2.6
	"Arizona"	"04"	"2012"	"2012"	168	6553255	2.6
	"Arizona"	"04"	"2013"	"2013"	228	6626624	3.4
	"Arizona"	"04"	"2014"	"2014"	259	6731484	3.8
	"Arizona"	"04"	"2015"	"2015"	394	6828065	5.8
	"Arizona"	"04"	"2016"	"2016"	530	6931071	7.6
	"Arizona"	"04"	"2017"	"2017"	663	7016270	9.4
	"Arizona"	"04"	"2018"	"2018"	703	7171646	9.8
	"Arizona"	"04"	"2019"	"2019"	855	7278717	11.7
	"Arizona"	"04"	"2020 "	"2020"	1186	7421401	16.0
	"Arkansas"	"05"	"2010"	"2010"	39	2915918	1.3
	"Arkansas"	"05"	"2011"	"2011"	42	2937979	1.4
	"Arkansas"	"05"	"2012"	"2012"	60	2949131	2.0
	"Arkansas"	"05"	"2013"	"2013"	57	2959373	1.9
	"Arkansas"	"05"	"2014"	"2014"	77	2966369	2.6
	"Arkansas"	"05"	"2015"	"2015"	73	2978204	2.5
	"Arkansas"	"05"	"2016"	"2016"	85	2988248	2.8
	"Arkansas"	"05"	"2017"	"2017"	104	3004279	3.5
	"Arkansas"	"05"	"2018"	"2018"	147	3013825	4.9
	"Arkansas"	"05"	"2019"	"2019"	165	3017804	5.5
	"Arkansas"	"05"	"2020 "	"2020"	262	3030522	8.6
	"California"	"06"	"2010"	"2010"	761	37253956	2.0
	"California"	"06"	"2011"	"2011"	846	37691912	2.2
	"California"	"06"	"2012"	"2012"	1009	38041430	2.7
	"California"	"06"	"2013"	"2013"	1315	38332521	3.4
	"California"	"06"	"2014"	"2014"	1450	38802500	3.7
	"California"	"06"	"2015"	"2015"	1796	39144818	4.6
	"California"	"06"	"2016"	"2016"	1915	39250017	4.9
	"California"	"06"	"2017"	"2017"	2350	39536653	5.9
	"California"	"06"	"2018"	"2018"	2833	39557045	7.2
	"California"	"06"	"2019"	"2019"	3347	39512223	8.5
	"California"	"06"	"2020 "	"2020"	5029	39368078	12.8
	"Colorado"	"08"	"2010"	"2010"	47	5029196	0.9
	"Colorado"	"08"	"2011"	"2011"	70	5116796	1.4
	"Colorado"	"08"	"2012"	"2012"	72	5187582	1.4
	"Colorado"	"08"	"2013"	"2013"	112	5268367	2.1
	"Colorado"	"08"	"2014"	"2014"	137	5355866	2.6
	"Colorado"	"08"	"2015"	"2015"	161	5456574	3.0
	"Colorado"	"08"	"2016"	"2016"	230	5540545	4.2
	"Colorado"	"08"	"2017"	"2017"	345	5607154	6.2
	"Colorado"	"08"	"2018"	"2018"	387	5695564	6.8
	"Colorado"	"08"	"2019"	"2019"	419	5758736	7.3
	"Colorado"	"08"	"2020 "	"2020"	622	5807719	10.7
	"Connecticut"	"09"	"2010"	"2010"	Suppressed	3574097	Suppressed
	"Connecticut"	"09"	"2011"	"2011"	Suppressed	3580709	Suppressed
	"Connecticut"	"09"	"2012"	"2012"	Suppressed	3590347	Suppressed
	"Connecticut"	"09"	"2013"	"2013"	Suppressed	3596080	Suppressed
	"Connecticut"	"09"	"2014"	"2014"	16	3596677	Unreliable
	"Connecticut"	"09"	"2015"	"2015"	22	3590886	0.6
	"Connecticut"	"09"	"2016"	"2016"	27	3576452	0.8
	"Connecticut"	"09"	"2017"	"2017"	40	3588184	1.1
	"Connecticut"	"09"	"2018"	"2018"	70	3572665	2.0
	"Connecticut"	"09"	"2019"	"2019"	71	3565287	2.0
	"Connecticut"	"09"	"2020 "	"2020"	94	3557006	2.6
	"Delaware"	"10"	"2010"	"2010"	Suppressed	897934	Suppressed
	"Delaware"	"10"	"2011"	"2011"	Suppressed	907135	Suppressed
	"Delaware"	"10"	"2012"	"2012"	Suppressed	917092	Suppressed
	"Delaware"	"10"	"2013"	"2013"	Suppressed	925749	Suppressed
	"Delaware"	"10"	"2014"	"2014"	Suppressed	935614	Suppressed
	"Delaware"	"10"	"2015"	"2015"	Suppressed	945934	Suppressed
	"Delaware"	"10"	"2016"	"2016"	Suppressed	952065	Suppressed
	"Delaware"	"10"	"2017"	"2017"	Suppressed	961939	Suppressed
	"Delaware"	"10"	"2018"	"2018"	15	967171	Unreliable
	"Delaware"	"10"	"2019"	"2019"	28	973764	2.9
	"Delaware"	"10"	"2020 "	"2020"	53	986809	5.4
	"District of Columbia"	"11"	"2010"	"2010"	Suppressed	601723	Suppressed
	"District of Columbia"	"11"	"2011"	"2011"	Suppressed	617996	Suppressed
	"District of Columbia"	"11"	"2012"	"2012"	Suppressed	632323	Suppressed
	"District of Columbia"	"11"	"2013"	"2013"	Suppressed	646449	Suppressed
	"District of Columbia"	"11"	"2014"	"2014"	Suppressed	658893	Suppressed
	"District of Columbia"	"11"	"2015"	"2015"	Suppressed	672228	Suppressed
	"District of Columbia"	"11"	"2016"	"2016"	Suppressed	681170	Suppressed
	"District of Columbia"	"11"	"2017"	"2017"	Suppressed	693972	Suppressed
	"District of Columbia"	"11"	"2018"	"2018"	11	702455	Unreliable
	"District of Columbia"	"11"	"2019"	"2019"	13	705749	Unreliable
	"District of Columbia"	"11"	"2020 "	"2020"	10	712816	Unreliable
	"Florida"	"12"	"2010"	"2010"	67	18801310	0.4
	"Florida"	"12"	"2011"	"2011"	68	19057542	0.4
	"Florida"	"12"	"2012"	"2012"	81	19317568	0.4
	"Florida"	"12"	"2013"	"2013"	100	19552860	0.5
	"Florida"	"12"	"2014"	"2014"	96	19893297	0.5
	"Florida"	"12"	"2015"	"2015"	169	20271272	0.8
	"Florida"	"12"	"2016"	"2016"	312	20612439	1.5
	"Florida"	"12"	"2017"	"2017"	453	20984400	2.2
	"Florida"	"12"	"2018"	"2018"	653	21299325	3.1
	"Florida"	"12"	"2019"	"2019"	901	21477737	4.2
	"Florida"	"12"	"2020 "	"2020"	1430	21733312	6.6
	"Georgia"	"13"	"2010"	"2010"	76	9687653	0.8
	"Georgia"	"13"	"2011"	"2011"	67	9815210	0.7
	"Georgia"	"13"	"2012"	"2012"	84	9919945	0.8
	"Georgia"	"13"	"2013"	"2013"	126	9992167	1.3
	"Georgia"	"13"	"2014"	"2014"	143	10097343	1.4
	"Georgia"	"13"	"2015"	"2015"	236	10214860	2.3
	"Georgia"	"13"	"2016"	"2016"	266	10310371	2.6
	"Georgia"	"13"	"2017"	"2017"	402	10429379	3.9
	"Georgia"	"13"	"2018"	"2018"	432	10519475	4.1
	"Georgia"	"13"	"2019"	"2019"	473	10617423	4.5
	"Georgia"	"13"	"2020 "	"2020"	636	10710017	5.9
	"Hawaii"	"15"	"2010"	"2010"	48	1360301	3.5
	"Hawaii"	"15"	"2011"	"2011"	53	1374810	3.9
	"Hawaii"	"15"	"2012"	"2012"	48	1392313	3.4
	"Hawaii"	"15"	"2013"	"2013"	63	1404054	4.5
	"Hawaii"	"15"	"2014"	"2014"	71	1419561	5.0
	"Hawaii"	"15"	"2015"	"2015"	100	1431603	7.0
	"Hawaii"	"15"	"2016"	"2016"	129	1428557	9.0
