"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2010"	"2010"	84	4779736	1.8
	"Alabama"	"01"	"2011"	"2011"	95	4802740	2.0
	"Alabama"	"01"	"2012"	"2012"	70	4822023	1.5
	"Alabama"	"01"	"2013"	"2013"	71	4833722	1.5
	"Alabama"	"01"	"2014"	"2014"	95	4849377	2.0
	"Alabama"	"01"	"2015"	"2015"	90	4858979	1.9
	"Alabama"	"01"	"2016"	"2016"	99	4863300	2.0
	"Alabama"	"01"	"2017"	"2017"	146	4874747	3.0
	"Alabama"	"01"	"2018"	"2018"	129	4887871	2.6
	"Alabama"	"01"	"2019"	"2019"	141	4903185	2.9
	"Alabama"	"01"	"2020 "	"2020"	126	4921532	2.6
	"Alaska"	"02"	"2010"	"2010"	44	710231	6.2
	"Alaska"	"02"	"2011"	"2011"	40	722718	5.5
	"Alaska"	"02"	"2012"	"2012"	42	731449	5.7
	"Alaska"	"02"	"2013"	"2013"	38	735132	5.2
	"Alaska"	"02"	"2014"	"2014"	43	736732	5.8
	"Alaska"	"02"	"2015"	"2015"	53	738432	7.2
	"Alaska"	"02"	"2016"	"2016"	51	741894	6.9
	"Alaska"	"02"	"2017"	"2017"	53	739795	7.2
	"Alaska"	"02"	"2018"	"2018"	41	737438	5.6
	"Alaska"	"02"	"2019"	"2019"	51	731545	7.0
	"Alaska"	"02"	"2020 "	"2020"	44	731158	6.0
	"Arizona"	"04"	"2010"	"2010"	340	6392017	5.3
	"Arizona"	"04"	"2011"	"2011"	334	6482505	5.2
	"Arizona"	"04"	"2012"	"2012"	355	6553255	5.4
	"Arizona"	"04"	"2013"	"2013"	268	6626624	4.0
	"Arizona"	"04"	"2014"	"2014"	308	6731484	4.6
	"Arizona"	"04"	"2015"	"2015"	318	6828065	4.7
	"Arizona"	"04"	"2016"	"2016"	347	6931071	5.0
	"Arizona"	"04"	"2017"	"2017"	375	7016270	5.3
	"Arizona"	"04"	"2018"	"2018"	336	7171646	4.7
	"Arizona"	"04"	"2019"	"2019"	323	7278717	4.4
	"Arizona"	"04"	"2020 "	"2020"	342	7421401	4.6
	"Arkansas"	"05"	"2010"	"2010"	125	2915918	4.3
	"Arkansas"	"05"	"2011"	"2011"	117	2937979	4.0
	"Arkansas"	"05"	"2012"	"2012"	129	2949131	4.4
	"Arkansas"	"05"	"2013"	"2013"	120	2959373	4.1
	"Arkansas"	"05"	"2014"	"2014"	123	2966369	4.1
	"Arkansas"	"05"	"2015"	"2015"	147	2978204	4.9
	"Arkansas"	"05"	"2016"	"2016"	120	2988248	4.0
	"Arkansas"	"05"	"2017"	"2017"	122	3004279	4.1
	"Arkansas"	"05"	"2018"	"2018"	111	3013825	3.7
	"Arkansas"	"05"	"2019"	"2019"	95	3017804	3.1
	"Arkansas"	"05"	"2020 "	"2020"	99	3030522	3.3
	"California"	"06"	"2010"	"2010"	1136	37253956	3.0
