"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2015"	"2015/01"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2015"	"2015/02"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2015"	"2015/03"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2015"	"2015/04"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2015"	"2015/05"	78	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2015"	"2015/06"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2015"	"2015/07"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2015"	"2015/08"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2015"	"2015/09"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2015"	"2015/10"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2015"	"2015/11"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2015"	"2015/12"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2016"	"2016/01"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2016"	"2016/02"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2016"	"2016/03"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	70	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	51	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2017"	"2017/04"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2017"	"2017/05"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2017"	"2017/06"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2017"	"2017/07"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2017"	"2017/08"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2017"	"2017/09"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2017"	"2017/10"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2017"	"2017/11"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2017"	"2017/12"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	80	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	80	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	73	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	70	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	59	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	80	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	57	Not Applicable	Not Applicable
