"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2010"	"2010"	36	4779736	0.8
	"Alabama"	"01"	"2011"	"2011"	21	4802740	0.4
	"Alabama"	"01"	"2012"	"2012"	17	4822023	Unreliable
	"Alabama"	"01"	"2013"	"2013"	31	4833722	0.6
	"Alabama"	"01"	"2014"	"2014"	50	4849377	1.0
	"Alabama"	"01"	"2015"	"2015"	73	4858979	1.5
	"Alabama"	"01"	"2016"	"2016"	158	4863300	3.2
	"Alabama"	"01"	"2017"	"2017"	203	4874747	4.2
	"Alabama"	"01"	"2018"	"2018"	150	4887871	3.1
	"Alabama"	"01"	"2019"	"2019"	215	4903185	4.4
	"Alabama"	"01"	"2020 "	"2020"	450	4921532	9.1
	"Alaska"	"02"	"2010"	"2010"	11	710231	Unreliable
	"Alaska"	"02"	"2011"	"2011"	Suppressed	722718	Suppressed
	"Alaska"	"02"	"2012"	"2012"	Suppressed	731449	Suppressed
	"Alaska"	"02"	"2013"	"2013"	12	735132	Unreliable
	"Alaska"	"02"	"2014"	"2014"	14	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	15	738432	Unreliable
	"Alaska"	"02"	"2016"	"2016"	10	741894	Unreliable
	"Alaska"	"02"	"2017"	"2017"	38	739795	5.1
	"Alaska"	"02"	"2018"	"2018"	21	737438	2.8
	"Alaska"	"02"	"2019"	"2019"	30	731545	4.1
	"Alaska"	"02"	"2020 "	"2020"	72	731158	9.8
	"Arizona"	"04"	"2010"	"2010"	71	6392017	1.1
	"Arizona"	"04"	"2011"	"2011"	43	6482505	0.7
	"Arizona"	"04"	"2012"	"2012"	38	6553255	0.6
	"Arizona"	"04"	"2013"	"2013"	52	6626624	0.8
	"Arizona"	"04"	"2014"	"2014"	59	6731484	0.9
	"Arizona"	"04"	"2015"	"2015"	75	6828065	1.1
	"Arizona"	"04"	"2016"	"2016"	127	6931071	1.8
	"Arizona"	"04"	"2017"	"2017"	271	7016270	3.9
	"Arizona"	"04"	"2018"	"2018"	533	7171646	7.4
	"Arizona"	"04"	"2019"	"2019"	806	7278717	11.1
	"Arizona"	"04"	"2020 "	"2020"	1515	7421401	20.4
	"Arkansas"	"05"	"2010"	"2010"	59	2915918	2.0
	"Arkansas"	"05"	"2011"	"2011"	30	2937979	1.0
	"Arkansas"	"05"	"2012"	"2012"	22	2949131	0.7
	"Arkansas"	"05"	"2013"	"2013"	33	2959373	1.1
	"Arkansas"	"05"	"2014"	"2014"	33	2966369	1.1
	"Arkansas"	"05"	"2015"	"2015"	46	2978204	1.5
	"Arkansas"	"05"	"2016"	"2016"	40	2988248	1.3
	"Arkansas"	"05"	"2017"	"2017"	71	3004279	2.4
	"Arkansas"	"05"	"2018"	"2018"	96	3013825	3.2
	"Arkansas"	"05"	"2019"	"2019"	117	3017804	3.9
	"Arkansas"	"05"	"2020 "	"2020"	198	3030522	6.5
	"California"	"06"	"2010"	"2010"	214	37253956	0.6
	"California"	"06"	"2011"	"2011"	176	37691912	0.5
	"California"	"06"	"2012"	"2012"	155	38041430	0.4
	"California"	"06"	"2013"	"2013"	186	38332521	0.5
	"California"	"06"	"2014"	"2014"	204	38802500	0.5
	"California"	"06"	"2015"	"2015"	237	39144818	0.6
	"California"	"06"	"2016"	"2016"	371	39250017	0.9
	"California"	"06"	"2017"	"2017"	554	39536653	1.4
	"California"	"06"	"2018"	"2018"	889	39557045	2.2
	"California"	"06"	"2019"	"2019"	1704	39512223	4.3
	"California"	"06"	"2020 "	"2020"	4057	39368078	10.3
	"Colorado"	"08"	"2010"	"2010"	59	5029196	1.2
