County,State,County-State,census_division,population_total,female_pct,median_age,under18_pct,over65_pct,white_pct,black_pct,aian_pct,asian_pct,nhpi_pct,otherrace_pct,hispanic_pct,poverty_pct,area_sqmi,pop_sqmi,nonenglish,customer,too_small,region,vlarge,large,vsmall,vblack,vhispanic,vnonenglish,dense,sparse,poor,group,RANDOM,group_rank
Abbeville County, South Carolina,"Abbeville County, South Carolina",5,24627,51.5,44.3,20.6,21.1,71.4,29.2,0.5,0.4,0,0.4,1.5,18.7,491.193,50,2.8,0,1,,0,0,1,0,0,0,0,1,1,NA,0.659,688
Acadia Parish, Louisiana,"Acadia Parish, Louisiana",7,62457,51.3,36.7,26.2,14.9,82.1,19.4,1.2,0.1,0,0.4,2.6,24.2,655.244,95,10,0,0,south,0,0,1,0,0,0,0,1,1,vsmall,0.887,43
Accomack County, Virginia,"Accomack County, Virginia",5,32673,51.2,45.9,21.2,22.7,69.2,29.2,0.9,0.9,0,0.9,9,19,449.317,73,11.5,0,1,,0,0,1,0,0,0,0,1,1,NA,0.155,1790
Ada County, Idaho,"Ada County, Idaho",8,456849,49.9,37,24,14,93.7,2,1.6,4.1,0.4,1.8,8.2,10.8,1052.015,434,8.7,0,0,west,0,0,0,0,0,0,0,0,0,other,0.376,62
Adair County, Iowa,"Adair County, Iowa",4,7085,50.5,45.4,21.4,22.1,98.5,0.9,0.5,0.9,0,0.3,2.1,10.9,569.271,12,3.2,0,1,,0,0,1,0,0,0,0,1,0,NA,0.198,1693
Adair County, Kentucky,"Adair County, Kentucky",6,19222,50.4,41.8,19.5,18.6,95.9,3.3,0.8,0.8,0,0.3,2,20.5,405.288,47,2.6,0,1,,0,0,1,0,0,0,0,1,1,NA,0.225,1633
Adair County, Missouri,"Adair County, Missouri",4,25369,51.4,27.6,18.6,14.4,94.1,3.5,0.7,3.1,0.3,0.8,2.5,23.8,567.324,45,5.9,0,1,,0,0,1,0,0,0,0,1,1,NA,0.986,28
Adair County, Oklahoma,"Adair County, Oklahoma",7,22220,50.3,37.2,27,15.2,51.8,0.9,53.6,0.9,0.3,2.9,6.8,27.8,573.878,39,8.3,0,1,,0,0,1,0,0,0,0,1,1,NA,0.331,1410
Adams County, Colorado,"Adams County, Colorado",8,504108,49.5,33.8,27,10.1,85.5,4.6,2.9,5,0.3,6.4,40,10.8,1166.739,432,29,1,0,west,0,0,0,0,1,0,0,0,0,CUSTOMER,0.333,8
Adams County, Idaho,"Adams County, Idaho",8,4097,48.5,55.2,17.1,29.5,97.4,1,3.1,0,0.2,0.2,3.6,12.1,1362.805,3,3.5,0,1,,0,0,1,0,0,0,0,1,1,NA,0.623,763
Adams County, Illinois,"Adams County, Illinois",3,66085,51.2,41.5,22.6,20,94.3,5.2,0.6,1.2,0,0.2,1.6,12.5,855.149,77,2.1,0,0,midwest,0,0,1,0,0,0,0,1,1,vsmall,0.634,142
Adams County, Indiana,"Adams County, Indiana",3,35376,50.1,33.5,31.3,15.1,97.2,1.2,0.2,0.4,0,1.7,4.5,16.8,338.926,104,14.8,0,1,,0,0,1,0,0,1,0,1,1,NA,0.165,1754
Adams County, Iowa,"Adams County, Iowa",4,3670,50.1,47.3,20.9,22.8,98.9,0.1,0.3,0.3,0,0.7,1.3,14.1,423.433,9,1.5,0,1,,0,0,1,0,0,0,0,1,1,NA,0.752,527
Adams County, Mississippi,"Adams County, Mississippi",6,31266,48.4,41.4,20.8,18.3,41.8,57.2,0.5,0.8,0,0.8,5.8,31.5,462.344,68,9.1,0,1,,0,0,1,1,0,0,0,1,1,NA,0.004,2145
Adams County, Nebraska,"Adams County, Nebraska",4,31587,49.8,37.7,23.8,17.7,94.8,1.6,0.9,1.6,0.2,3,10.3,12.5,563.274,56,8.6,0,1,,0,0,1,0,0,0,0,1,1,NA,0.553,919
Adams County, North Dakota,"Adams County, North Dakota",4,2311,52.1,45.6,22.2,24.4,94.4,2.1,1.4,2.5,0,0,1.7,8.7,987.547,2,3.8,0,1,,0,0,1,0,0,0,0,1,0,NA,0.724,579
Adams County, Ohio,"Adams County, Ohio",3,27776,50.2,42,24.1,17.5,99.4,0.6,0.3,0.1,0,0.2,1,20.7,583.872,48,1.7,0,1,,0,0,1,0,0,0,0,1,1,NA,0.519,998
Adams County, Pennsylvania,"Adams County, Pennsylvania",2,102470,50.8,43.9,20.3,19.8,94.9,2.5,0.6,1.1,0,3.2,7.1,7.8,518.69,198,6.3,0,0,northeast,0,0,0,0,0,0,0,1,0,sparse,0.755,53
Adams County, Washington,"Adams County, Washington",9,19594,49.1,27.9,35.2,10.9,66.6,1.5,5.1,1.3,0.4,27.4,63.6,25.6,1924.989,10,55,0,1,,0,0,1,0,1,0,0,1,1,NA,0.47,1115
Adams County, Wisconsin,"Adams County, Wisconsin",3,20094,46.3,53.8,14.5,28.7,94.5,3.4,1.8,0.9,0,1.5,3.9,12.9,645.646,31,4.9,0,1,,0,0,1,0,0,0,0,1,1,NA,0.123,1858
Addison County, Vermont,"Addison County, Vermont",1,36882,50.4,43.5,17.2,19.2,95.6,2,0.9,2.5,0.1,0.8,2.3,7.2,766.331,48,6,0,1,,0,0,1,0,0,0,0,1,0,NA,0.263,1550
Aiken County, South Carolina,"Aiken County, South Carolina",5,168301,51.7,41,21.8,18.7,72.8,26.2,1.1,1.4,0.1,0.9,5.7,14.9,1070.688,157,6.4,0,0,south,0,0,0,0,0,0,0,1,1,sparse,0.16,163
Aitkin County, Minnesota,"Aitkin County, Minnesota",4,15834,49.2,55.5,16.7,32.5,96.6,1.2,3.2,0.7,0.2,0.4,1.4,12.2,1821.369,9,2.7,0,1,,0,0,1,0,0,0,0,1,1,NA,0.086,1945
Alachua County, Florida,"Alachua County, Florida",5,265443,51.7,31.6,18,13.7,71.9,22,0.9,7.1,0.2,1.6,9.9,21.4,875.643,303,14.2,0,0,south,0,0,0,0,0,0,0,0,1,poor,0.394,44
Alamance County, North Carolina,"Alamance County, North Carolina",5,163324,52.5,39.1,22.4,16.6,71.8,21,1.2,1.9,0.1,6.7,12.6,16.1,423.452,386,12.6,0,0,south,0,0,0,0,0,0,0,0,1,poor,0.651,21
