,Month,Deaths,LSTM Predictions,SARIMA Predictions
0,2015-01-01,2771,0.0,0.0
1,2015-02-01,2627,2783.981689453125,2540.8381724351943
2,2015-03-01,2907,2639.382080078125,2673.336257105797
3,2015-04-01,2822,2920.5478515625,2865.7116548711815
4,2015-05-01,2850,2835.194091796875,2837.851862246852
5,2015-06-01,2634,2863.310546875,2844.503803741068
6,2015-07-01,2734,2646.411376953125,2662.1619646044155
7,2015-08-01,2810,2746.82763671875,2717.839154667724
8,2015-09-01,2925,2823.143798828125,2802.2969983189
9,2015-10-01,2970,2938.622802734375,2911.302118679543
10,2015-11-01,2739,2983.81005859375,2965.942353973406
11,2015-12-01,2718,2751.848388671875,2768.8957609528024
12,2016-01-01,3098,2730.760986328125,4710.8596138599905
13,2016-02-01,3416,3112.343017578125,3158.6993643768615
14,2016-03-01,3721,3431.666748046875,3599.5770375595325
15,2016-04-01,3608,3737.936767578125,3632.385660250538
16,2016-05-01,3475,3624.46630859375,3644.1031414687664
17,2016-06-01,3384,3490.912353515625,3274.646980954042
18,2016-07-01,3668,3399.53369140625,3463.7434849481074
19,2016-08-01,3624,3684.716064453125,3713.9733748756216
20,2016-09-01,3518,3640.532958984375,3771.49641408877
21,2016-10-01,3695,3534.091552734375,3611.6868477189287
22,2016-11-01,3745,3711.828369140625,3418.429926525294
23,2016-12-01,4044,3762.03662109375,3683.6888955717213
24,2017-01-01,4332,4062.281494140625,4244.817620971459
25,2017-02-01,4006,4351.47998046875,4712.487643118592
26,2017-03-01,4252,4024.123291015625,4429.7216151679795
27,2017-04-01,4056,4271.14697265625,4150.053262231786
28,2017-05-01,4129,4074.33154296875,3978.6181729024765
29,2017-06-01,3950,4147.63525390625,3967.919702562743
30,2017-07-01,3980,3967.889892578125,4210.381122754873
31,2017-08-01,4000,3998.014892578125,4008.779234947578
32,2017-09-01,4022,4018.098388671875,3935.398233952052
33,2017-10-01,3832,4040.189697265625,4155.917790159434
34,2017-11-01,3820,3849.39892578125,3888.863315679123
35,2017-12-01,4017,3837.348876953125,4057.5454170128673
36,2018-01-01,4008,4035.1689453125,4273.158478678039
37,2018-02-01,3671,4026.131591796875,3988.4766205031397
38,2018-03-01,4155,3687.728515625,3995.446979698815
39,2018-04-01,3922,4173.7431640625,3951.263563143173
40,2018-05-01,4079,3939.7734375,3942.1483509933146
41,2018-06-01,4063,4097.4267578125,3885.237404349423
42,2018-07-01,4085,4081.360595703125,4156.244767882558
43,2018-08-01,4061,4103.45166015625,4115.035209226287
44,2018-09-01,3882,4079.352294921875,4061.1957080655393
45,2018-10-01,3999,3899.60693359375,3880.1578365622236
46,2018-11-01,3692,4017.093994140625,3938.632256009445
47,2018-12-01,3976,3708.815673828125,3960.909399272913
48,2019-01-01,3931,3993.998291015625,4058.5574342568325
49,2019-02-01,3727,3948.810791015625,3800.8647121647396
50,2019-03-01,4285,3743.961669921875,4104.815995044505
51,2019-04-01,3934,4304.2841796875,4060.7519847241783
52,2019-05-01,4100,3951.823486328125,4030.2628105397175
53,2019-06-01,4112,4118.51416015625,3981.9971526371255
54,2019-07-01,4296,4130.56396484375,4184.037754239084
55,2019-08-01,4371,4315.33056640625,4268.1843198005345
56,2019-09-01,4252,4390.642578125,4267.545125981628
57,2019-10-01,4529,4271.14697265625,4312.770399292797
58,2019-11-01,4560,4549.30029296875,4329.686557182253
59,2019-12-01,4645,4580.42919921875,4763.8855455642615
60,2020-01-01,4727,4665.783203125,4735.560962076347
61,2020-02-01,4696,4748.12451171875,4569.357214399396
62,2020-03-01,5365,4769.3369140625,5092.554793674121
63,2020-04-01,6027,4790.6376953125,4860.585532951642
64,2020-05-01,7419,4812.02685546875,4942.20650015477
65,2020-06-01,6307,4833.50537109375,4876.638921667216
66,2020-07-01,6343,4855.0732421875,5016.51600046421
67,2020-08-01,6165,4876.73095703125,5041.705896916628
68,2020-09-01,5683,4898.478515625,4958.628025423093
69,2020-10-01,5613,4920.31689453125,5086.2212531414125
70,2020-11-01,5613,4942.24609375,5029.753481147935
71,2020-12-01,5792,4964.26708984375,5205.3661308977735
