Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,303.84670295844313,250.56611423866423,6.578202193901996,92322.81889871639,98.0392156862745,1238.032779574985,1051.9422607421875,17.083153349863032,1532725.1633021634,58.333333333333336
2,1000,2000,274.7419963757557,216.37702971813727,5.65827548557196,75483.16457253578,96.07843137254902,1308.0623818861995,1126.798828125,18.33918380262419,1711027.1949057977,58.333333333333336
3,1000,3000,305.6652486003997,252.5952579273897,6.606475047741421,93431.24420194415,96.07843137254902,1334.0376073429381,1165.9796549479167,19.058574803904648,1779656.3378052711,58.333333333333336
4,1000,4000,285.8306724454164,230.6982661228554,6.047361844085059,81699.17331059891,98.0392156862745,1232.2278482851036,1039.1814371744792,16.83718936061219,1518385.4700893362,58.333333333333336
5,1000,5000,286.8082378683862,232.68750957414215,6.118388444826184,82258.96530916878,96.07843137254902,1174.3732691653784,965.8990071614584,15.561403091007705,1379152.575330178,75.0
6,1000,6000,294.7503926615617,239.72439874387254,6.242994119704908,86877.79397414479,94.11764705882352,1432.9431113494857,1272.368896484375,20.869728266859322,2053325.9603639443,58.333333333333336
7,1000,7000,305.32785330321843,245.6726792279412,6.437335340934197,93225.09800275166,96.07843137254902,1305.24756953374,1132.4585367838542,18.480628304097483,1703671.2177737355,58.333333333333336
8,1000,8000,307.7135532798111,253.37500478707108,6.642227836270169,94687.63087208715,96.07843137254902,1184.5641624108212,984.3921305338541,15.903258886580238,1403192.2548680503,66.66666666666666
9,1000,9000,293.1463598352685,235.9321097579657,6.158222275676146,85934.78828466874,94.11764705882352,1384.8432534930093,1222.217041015625,20.022717263117325,1917790.8367451031,58.333333333333336
10,1000,10000,272.28376561526744,218.95475260416666,5.680018043214106,74138.4490176299,94.11764705882352,1334.994115428912,1157.2633463541667,18.862094843255154,1782209.288229823,58.333333333333336
11,1000,11000,303.29556838288454,240.57083907781862,6.27136196038706,91988.20180069699,94.11764705882352,1400.1882965794712,1242.8970540364583,20.396909989583207,1960527.2658781211,58.333333333333336
12,1000,12000,1150.4814435021278,1025.692569508272,26.324090733086038,1323607.5518427398,49.01960784313725,1584.3034629410727,1265.7488199869792,22.155016782830824,2510017.462687075,91.66666666666666
13,1000,13000,331.0209537982488,274.5361280254289,7.214671889057208,109574.87185350235,92.15686274509804,1125.8782368794905,910.4845784505209,14.630440730025635,1267601.8042788703,75.0
14,1000,14000,330.2709180707297,273.66600126378677,7.177923959826643,109078.87932328266,98.0392156862745,1269.160628383191,1093.9108072916667,17.830160494067794,1610768.700638016,58.333333333333336
15,1000,15000,259.9785550166173,207.03266218596815,5.40952293521367,67588.8490685283,94.11764705882352,1227.5400761021183,1029.82958984375,16.673832010931413,1506854.6384367943,75.0
16,1000,16000,274.4121955761845,221.3968194699755,5.770803447035135,75302.05308094212,96.07843137254902,1360.5748618958305,1191.3546549479167,19.471524147949413,1851163.954822858,58.333333333333336
17,1000,17000,289.6727273803,227.03935451133577,5.90054074460997,83910.2889879416,94.11764705882352,1399.0150527779247,1243.296630859375,20.398331951893912,1957243.1178992193,58.333333333333336
18,1000,18000,291.0681954659868,240.27183383118873,6.281471768955516,84720.6944118259,94.11764705882352,1310.7164788278735,1138.370849609375,18.575635150760373,1717977.6878709395,58.333333333333336
19,1000,19000,286.81823695653145,222.77264763327207,5.8240225589195465,82264.70105085302,92.15686274509804,1274.5969944016003,1091.3714192708333,17.742468178987455,1624597.4981375933,58.333333333333336
20,1000,20000,265.19342386769836,211.77451937806373,5.529290645223217,70327.55206267272,94.11764705882352,1281.550273074959,1098.3681640625,17.846377808945622,1642371.102418502,58.333333333333336
21,1000,21000,280.7146610734692,225.47732843137254,5.916393706821167,78800.72094159266,96.07843137254902,1326.0161401886216,1146.8650309244792,18.692572001197348,1758318.80404073,58.333333333333336
22,1000,22000,274.90228812917707,224.67803117340685,5.83925537075409,75571.26801865708,96.07843137254902,1368.268592539867,1179.372314453125,19.17350156567854,1872158.941331029,58.333333333333336
23,1000,23000,302.26627656347154,249.0929744944853,6.55712719794968,91364.90194754508,98.0392156862745,1207.2054125417378,1010.7191975911459,16.356489089925326,1457344.9080700676,66.66666666666666
24,1000,24000,243.12050171641982,187.38917451746323,4.940725487623906,59107.57835484369,96.07843137254902,1287.1201743830911,1092.021728515625,17.688057614594687,1656678.3433039587,66.66666666666666
25,1000,25000,277.76901241161846,222.91553213082108,5.76803145735626,77155.62425612586,96.07843137254902,1393.6392788403807,1232.5253499348958,20.20175692656707,1942230.4395267367,58.333333333333336
26,1000,26000,258.98707837264476,204.72963101256127,5.3628234857663495,67074.30676399844,96.07843137254902,1305.0085160331694,1123.4178873697917,18.2825105469804,1703047.2269190948,58.333333333333336
27,1000,27000,300.6059441628835,245.49061734068627,6.452934575480188,90363.93366605861,98.0392156862745,1279.579840661542,1102.0893961588542,17.953621777989916,1637324.568627417,58.333333333333336
28,1000,28000,280.8312684731441,224.61917413449754,5.859378917469789,78866.20135223515,94.11764705882352,1274.5660090061385,1089.761962890625,17.710273639273698,1624518.5113138359,58.333333333333336
29,1000,29000,261.5572650734129,207.95495366115196,5.469076100282013,68412.20291268358,96.07843137254902,1177.851375380007,966.6901041666666,15.560798889379916,1387333.8624845743,75.0
30,1000,30000,286.71225269897934,233.3892511106005,6.104848865241236,82203.91584772339,96.07843137254902,1342.2385785543806,1171.8500569661458,19.14336932294241,1801604.401759684,58.333333333333336
