Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,789,789,223.4047240020485,178.25049326371175,4.695783812631068,49909.670706431476,93.87755102040816,1546.6738864011345,1380.5618896484375,22.654140628516963,2392200.1108751893,58.333333333333336
2,789,1789,204.87161996850543,154.44764927455358,3.976557874012305,41972.38066851971,93.87755102040816,1756.3245962537337,1600.3440755208333,26.423429272383153,3084676.0874058404,25.0
3,789,2789,201.32482996144077,151.35707310267858,3.9038679723171774,40531.68715900304,95.91836734693877,1752.2134421820617,1593.1298828125,26.28398497698925,3070251.946963509,33.33333333333333
4,789,3789,212.08992661192084,162.19102758290816,4.1422787574676025,44982.13697024997,91.83673469387756,1799.3497747794497,1645.8463948567708,27.208974759771294,3237659.611998856,25.0
5,789,4789,209.0403781319356,157.88978794642858,4.066629199009482,43697.87968954261,95.91836734693877,1740.15912996854,1584.0511067708333,26.146373119171145,3028153.797612866,33.33333333333333
6,789,5789,213.92112496112873,167.3419862085459,4.3963081396371635,45762.24770463486,93.87755102040816,1588.0952609149956,1423.8804931640625,23.394130965971772,2522046.5577406683,50.0
7,789,6789,205.63289724304238,154.96464943399235,3.9835808134009665,42284.888428567625,93.87755102040816,1765.6032828588845,1610.9822184244792,26.61146615738737,3117354.95244207,25.0
8,789,7789,206.51019331796644,155.49568518813774,4.017860471501635,42646.45994422387,95.91836734693877,1727.404866216253,1570.2534586588542,25.906914918134976,2983927.5718275905,41.66666666666667
9,789,8789,203.64482203582193,153.89401307397958,3.984415075621424,41471.21354200159,95.91836734693877,1711.906459455703,1553.8004557291667,25.623047894339475,2930623.725926161,41.66666666666667
10,789,9789,206.81153617790014,156.26025888871175,4.008648783574142,42771.011496262894,91.83673469387756,1773.8321475893597,1618.4334716796875,26.733366054874637,3146480.48782148,25.0
11,789,10789,207.72883273735235,156.86350047831633,4.0265923238835235,43151.26795042291,91.83673469387756,1765.8344003972663,1611.6139729817708,26.6243684249878,3118171.1296263733,25.0
12,789,11789,221.7669825270647,170.05943578603316,4.337930377558144,49180.594539159414,89.79591836734694,1803.826326589584,1653.3982950846355,27.35446229256298,3253789.4164976724,25.0
13,789,12789,216.3434292090487,167.97764867665816,4.2753206156267485,46804.47936193067,91.83673469387756,1823.6470220082092,1670.4669392903645,27.628667602562217,3325688.46087941,25.0
14,789,13789,204.5589183101865,154.64134745695154,4.0087027503752,41844.35106023355,95.91836734693877,1706.9147497281415,1548.7521158854167,25.53717751044061,2913557.962839484,41.66666666666667
15,789,14789,213.08412134834316,161.7125617825255,4.139719586432223,45404.84277079543,91.83673469387756,1781.3765364409792,1628.4253743489583,26.916506567680088,3173302.364582459,25.0
16,789,15789,203.42464394934476,153.62640007174744,3.9549337508267,41381.58576591769,95.91836734693877,1744.6456032169126,1586.4053548177083,26.174521965230596,3043788.280824105,33.33333333333333
17,789,16789,207.31583452341852,156.3990104830995,4.0313494659173434,42979.85524414145,95.91836734693877,1745.1168611776184,1589.0680338541667,26.231817321645494,3045432.8591664233,33.33333333333333
18,789,17789,207.70473484974985,157.02598353794642,4.0153007862420695,43141.2568790049,91.83673469387756,1801.4210292560022,1647.8781331380208,27.243392099497317,3245117.724645754,25.0
19,789,18789,211.9187190292806,160.82860829878825,4.116137590954871,44909.543475011174,91.83673469387756,1781.6400767662667,1628.6969401041667,26.92121973962059,3174241.363139709,25.0
20,789,19789,212.21693688365613,162.16626973054846,4.133132575959437,45036.02830028169,91.83673469387756,1808.560627495292,1656.1830037434895,27.39082666585072,3270891.543326164,25.0
21,789,20789,207.28108761881285,157.27755799585458,4.030921933888971,42965.44928443797,91.83673469387756,1787.5885973337333,1631.9809977213542,26.961932087802527,3195472.993317584,25.0
22,789,21789,205.22140567965576,154.9524772799745,3.9874998977307166,42115.82534913384,93.87755102040816,1741.3907535732242,1585.7749430338542,26.17856756085766,3032441.7566303215,33.33333333333333
23,789,22789,281.7772402033954,230.34810467155611,5.752932353193151,79398.413096642,81.63265306122449,1964.5229425324494,1822.9685668945312,30.288977651908638,3859350.3917363533,25.0
24,789,23789,205.93569827125796,157.39808374521684,4.020689834343437,42409.511822470595,91.83673469387756,1812.405450783036,1656.173828125,27.368920112699453,3284813.5180280604,25.0
25,789,24789,206.3060531907241,155.8769082828444,4.011447687778825,42562.187583133884,95.91836734693877,1747.5080757669255,1590.7349039713542,26.25599261710297,3053784.474870622,33.33333333333333
26,789,25789,210.51558019945202,161.64314114317602,4.1177915937089224,44316.809506711914,91.83673469387756,1816.9465296517944,1662.9996134440105,27.497630856908312,3301294.691613699,25.0
27,789,26789,222.00004354809275,178.47879464285714,4.700779070300047,49284.01933535508,93.87755102040816,1528.5023344984381,1360.1058349609375,22.297547960069807,2336319.3865671754,58.333333333333336
28,789,27789,204.27261646322415,153.7745735012755,3.963739662214817,41727.30183673148,95.91836734693877,1746.8038730370945,1590.4394938151042,26.253382578764057,3051323.7708573937,33.33333333333333
29,789,28789,201.23075659351608,151.40947365274235,3.9082017666111315,40493.81739919891,95.91836734693877,1761.1676122618696,1603.8069661458333,26.47453665497313,3101711.3584801755,25.0
30,789,29789,206.693325450559,155.97289540816325,4.009762572985774,42722.1307858107,93.87755102040816,1755.9447375530435,1600.9991861979167,26.44034215380114,3083341.921340227,25.0
