Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,789,789,492.84132052123954,450.65553089488634,11.733232825379643,242892.56721311915,47.27272727272727,2613.246029311264,2463.877685546875,41.29225050854511,6829054.809711088,16.666666666666664
2,789,1789,248.0264537325282,203.9473233309659,5.524553739235236,61517.121751133964,92.72727272727272,823.1296423168527,594.7029622395834,9.413536171824582,677542.4080606699,91.66666666666666
3,789,2789,629.7459371389758,579.269091796875,15.485179858971879,396579.94534304686,60.0,1080.7569681703665,819.2412516276041,13.94693089652668,1168035.6242488027,91.66666666666666
4,789,3789,340.776248207922,280.0942560369318,7.593415608147088,116128.45134266723,90.9090909090909,1199.1448176184072,900.8782145182291,15.336478462199723,1437948.293621083,91.66666666666666
5,789,4789,318.16737586990627,259.90859818892045,6.8978226503031825,101230.47906794223,94.54545454545455,2636.3835757808743,2327.5362548828125,38.451916679307836,6950518.358647148,33.33333333333333
6,789,5789,1136.9729397533547,1104.8520463423295,29.240865354909328,1292707.4657313856,5.454545454545454,12766.810748614069,9923.507080078125,170.95636558596573,162991456.69092774,75.0
7,789,6789,434.0538320391777,326.7161177201705,8.546379113794108,188402.72910789467,87.27272727272727,1786.359579518329,1526.390116373698,25.21565885068295,3191080.547336901,66.66666666666666
8,789,7789,1020.4568220749593,972.9122381036932,25.43118494706177,1041332.1257193252,12.727272727272727,2626.8612059144307,2352.399098714193,39.76158731624868,6900399.795138217,50.0
9,789,8789,468.7906188378191,353.4743030894886,9.197951717565015,219764.64431034544,92.72727272727272,1491.870277504138,1304.4125569661458,21.425892570681658,2225676.9249002733,58.333333333333336
10,789,9789,452.3564880403835,400.00814985795455,10.706195049823293,204626.39227222963,74.54545454545455,843.6905760994769,675.1171061197916,11.228658031827031,711813.7881990671,91.66666666666666
11,789,10789,1000.1372771871772,975.2373801491477,25.530613778866446,1000274.5732193806,0.0,3830.0738526569107,3672.2830607096353,62.10709049647664,14669465.716806153,16.666666666666664
12,789,11789,801.4006204934576,765.2693048650568,19.98433715863613,642242.9545272989,12.727272727272727,3999.94265033777,3780.4466451009116,63.6140692719572,15999541.205991143,16.666666666666664
13,789,12789,610.2603960191883,566.8430264559659,14.758520351869334,372417.7509494966,30.909090909090907,2494.3948553863115,2353.9821980794272,39.47949220351314,6222005.694577699,25.0
14,789,13789,276.06440480704276,223.52452059659092,6.02835382776015,76211.55560146678,92.72727272727272,877.2224478576807,595.5052490234375,9.296558541904911,769519.2230254213,91.66666666666666
15,789,14789,466.41912511555336,399.5971724076704,10.39442176172385,217546.8002735582,69.0909090909091,2486.484467298929,2353.5930786132812,39.58619458836881,6182605.006118839,16.666666666666664
16,789,15789,317.31954258174966,255.6504305752841,6.646888970694841,100691.69210429084,85.45454545454545,2019.704349741579,1845.1752522786458,30.52196173323386,4079205.660365055,25.0
17,789,16789,761.287274813145,695.7438121448864,18.498421458154095,579558.314792425,38.18181818181819,1765.1706769098446,1383.1774088541667,23.943108382159153,3115827.518622359,83.33333333333334
18,789,17789,892.8900845264864,861.2280317826704,22.49077690828755,797252.703045716,3.6363636363636362,3112.357463974614,2953.0618693033853,49.70126021534658,9686768.98355849,25.0
19,789,18789,965.7334360896101,937.0127330433239,24.539764123635578,932641.069581445,1.8181818181818181,3888.329825045817,3718.0250040690103,62.835696791188866,15119108.828340834,16.666666666666664
20,789,19789,283.370924027637,233.89485085227273,6.299486277954185,80299.0805842768,92.72727272727272,807.5007649844343,650.9298909505209,10.598847528065992,652057.4854504466,91.66666666666666
21,789,20789,254.52107703400176,208.92706409801136,5.551597401095704,64780.97865454826,94.54545454545455,1209.4266321793536,1000.1217447916666,16.126911310812023,1462712.7786246936,66.66666666666666
22,789,21789,256.5652130960133,214.87849786931818,5.802368676861263,65825.7085710027,89.0909090909091,794.5519274310245,610.7303059895834,9.798356707243883,631312.7653843561,91.66666666666666
23,789,22789,442.6224151443976,380.2806507457386,9.889722322309801,195914.6023882595,72.72727272727273,2797.901502643769,2566.2314249674478,42.74163634111683,7828252.818496262,25.0
24,789,23789,385.33580180135806,303.59072265625,7.881959192122095,148483.6801498955,85.45454545454545,1815.3378059259023,1662.5501708984375,27.632304551082193,3295451.3496238687,41.66666666666667
25,789,24789,214.42964346034864,170.28609730113635,4.476096878349402,45980.07199453224,92.72727272727272,1221.2597093935522,1026.9554443359375,16.611863252613134,1491475.2777880232,58.333333333333336
26,789,25789,911.4635501679328,883.4905983664772,23.081338730791913,830765.8032847318,1.8181818181818181,3539.6714618865335,3351.255126953125,56.42464712489067,12529274.05809395,25.0
27,789,26789,221.53172370542657,169.96132368607954,4.617029041255119,49076.30460789746,94.54545454545455,1165.756884088447,945.0162760416666,15.133205176888728,1358989.1127996047,75.0
28,789,27789,395.5610736220145,335.5140447443182,8.974573218733404,156468.56296500075,69.0909090909091,6974.991948464954,5166.1067301432295,89.36300660001656,48650512.681150936,75.0
29,789,28789,790.6868964889188,760.9115900213068,19.862289834512296,625185.7682792783,5.454545454545454,3320.85587509362,3156.0467427571616,53.2315323371273,11028083.743143814,16.666666666666664
30,789,29789,267.4206691144774,216.37282936789774,5.784039329075835,71513.81426963481,90.9090909090909,1006.5406716371523,740.6107584635416,11.673610134064614,1013124.1236597697,91.66666666666666
