Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,208.152535924618,166.0412908380682,4.475530003517061,43327.47821184939,96.36363636363636,1786.434030570051,1639.4739583333333,27.136114290699027,3191346.5455787578,25.0
2,42,1042,251.96052256053298,212.07551491477273,5.942303109115914,63484.10492897684,94.54545454545455,1734.203706448374,1578.634521484375,26.058148096283322,3007462.4954592786,41.66666666666667
3,42,2042,244.23952898699457,192.39141068892044,5.214828496202959,59652.94751978896,90.9090909090909,1931.924604317108,1777.2564900716145,29.439601810583504,3732332.6767658144,25.0
4,42,3042,253.5291156468952,204.9425692471591,5.763796750414352,64277.012480696765,96.36363636363636,1738.2606070297302,1591.4812825520833,26.32289102431692,3021549.937951366,25.0
5,42,4042,219.6272744468583,171.00361328125,4.556637749299527,48236.139680955624,96.36363636363636,1742.0087383016732,1584.8605550130208,26.153635441450124,3034594.4443193874,25.0
6,42,5042,230.5628374914485,179.09375443892046,4.975394632701783,53159.22203210809,94.54545454545455,1848.604901240638,1695.4009806315105,28.053582431435327,3417340.080890909,25.0
7,42,6042,242.41905797196094,211.38544921875,5.80062304002048,58766.99966801296,90.9090909090909,1461.1358712134293,1283.4090169270833,20.95245353753775,2134918.034146627,58.333333333333336
8,42,7042,230.85480519957943,180.74256480823863,4.7224230168183965,53293.94108373577,90.9090909090909,1820.6177885990871,1664.2163696289062,27.504765549217396,3314649.13216343,25.0
9,42,8042,210.65151972344677,164.77715287642044,4.450800434113138,44374.062761797686,96.36363636363636,1742.6678613325882,1580.1383463541667,26.044834055471483,3036891.274921497,25.0
10,42,9042,214.4877151871949,168.2827547940341,4.646258462347251,46004.97996622324,94.54545454545455,1714.7595469930457,1555.2218424479167,25.63770373273971,2940400.304003795,41.66666666666667
11,42,10042,230.48051482852765,178.36537642045454,4.7661764903820645,53121.26771562316,94.54545454545455,1688.2539919497515,1525.4258626302083,25.116828499292904,2850201.5413342714,41.66666666666667
12,42,11042,233.46190730118607,188.90319158380683,5.275036632787533,54504.462160707604,94.54545454545455,1773.657864982967,1615.9430338541667,26.67896205580999,3145862.2220159373,25.0
13,42,12042,227.83396965954307,184.7952059659091,5.207229099612135,51908.3177308256,94.54545454545455,1615.8360888284662,1446.0577392578125,23.736134292128533,2610926.265960475,50.0
14,42,13042,217.403972096696,163.2888272372159,4.408302113274414,47264.48708342097,96.36363636363636,1828.616130923185,1671.6611328125,27.62821918174036,3343836.954272479,25.0
15,42,14042,215.4002243908942,167.68278142755682,4.666072145906297,46397.256667647576,94.54545454545455,1744.1307451485313,1578.252197265625,25.994721799240665,3041992.056172371,33.33333333333333
16,42,15042,228.68778611259833,191.39838423295456,5.350866092898039,52298.10351708152,90.9090909090909,1673.6510053416034,1506.2704264322917,24.767262969094876,2801107.6876809597,50.0
17,42,16042,238.9288421665481,200.32906605113635,5.529607644254067,57086.99161904725,94.54545454545455,1608.9490709986221,1443.1291910807292,23.70989425899126,2588717.113067329,50.0
18,42,17042,222.49226701830614,174.14680397727273,4.792412991718561,49502.80888294523,96.36363636363636,1790.200400365343,1634.0513916015625,26.99226696274745,3204817.4734682343,25.0
19,42,18042,256.06998156318593,200.91485706676136,5.711549613308429,65571.83545777039,92.72727272727272,1777.5842479977862,1626.6451009114583,26.89660697178588,3159805.758729855,25.0
20,42,19042,237.09899971804387,189.23757546164774,4.949022804368499,56215.93566729697,90.9090909090909,1945.5297986974886,1792.9269409179688,29.716520897919814,3785086.1976198903,25.0
21,42,20042,219.58366206599177,169.3986505681818,4.527994705112995,48216.98464631167,96.36363636363636,1797.9781963783398,1637.9845784505208,27.041310550787873,3232725.5946519077,25.0
22,42,21042,250.7431779038783,198.33864524147728,5.328225682265324,62872.14126533595,92.72727272727272,1900.6062427232944,1765.8860270182292,29.36305576658845,3612304.089878758,25.0
23,42,22042,220.96496517935,172.58857421875,4.723958921463598,48825.51583671136,94.54545454545455,1809.4527537693127,1652.639404296875,27.30816306822789,3274119.2681233487,25.0
24,42,23042,258.19726614312646,204.32197265625,5.648948569325201,66665.82824378448,96.36363636363636,1933.1674699773837,1786.0810546875,29.629598133951884,3737136.4669787586,25.0
25,42,24042,235.00186790435058,181.7927823153409,5.013107496566245,55225.87791853384,94.54545454545455,1795.2478289960368,1637.8159993489583,27.052750721932277,3222914.7675149837,25.0
26,42,25042,247.43497505843462,200.79548117897727,5.244370203871719,61224.06688216816,89.0909090909091,1964.8506866910081,1813.9544881184895,30.084181783976653,3860638.2209901265,25.0
27,42,26042,210.97163486205764,163.0529119318182,4.4600970512461195,44509.03071636937,94.54545454545455,1716.817294771083,1555.7416585286458,25.63709587539242,2947461.6236250997,33.33333333333333
28,42,27042,256.48088288428266,208.1954367897727,5.9316772090610295,65782.44328510111,92.72727272727272,1634.6964121115327,1477.0409749348958,24.325680797057178,2672232.359770318,50.0
29,42,28042,237.4539525651011,185.05348455255682,5.085804361236799,56384.37958878929,94.54545454545455,1818.3357518048717,1667.472391764323,27.592047370154678,3306344.906291788,25.0
30,42,29042,220.10612302854523,170.88737127130682,4.773060628377335,48446.70539465709,96.36363636363636,1742.5815082706074,1585.5594075520833,26.16432837296988,3036590.312966665,25.0
