True,Pred
2822,3889.9407
2850,3895.112
2634,3909.3357
2734,3906.0803
2810,3909.5852
2925,3912.1348
2970,3913.9617
2739,3916.0625
2718,3917.943
3098,3919.709
3416,3921.3884
3721,3922.9648
3608,3924.4507
3475,3925.8516
3384,3927.1702
3668,3928.4133
3624,3929.585
3518,3930.6877
3695,3931.727
3745,3932.7073
4044,3933.63
4332,3934.499
4006,3935.319
4252,3936.091
4056,3936.818
4129,3937.5037
3950,3938.1492
3980,3938.7576
4000,3939.3308
4022,3939.871
3832,3940.3796
3820,3940.8591
4017,3941.3108
4008,3941.7366
3671,3942.1372
4155,3942.515
3922,3942.8713
4079,3943.2063
4063,3943.5227
4085,3943.8203
4061,3944.1008
3882,3944.3652
3999,3944.614
3692,3944.849
3976,3945.0698
