True,Pred
2822,3900.766
2850,3882.714
2634,3904.024
2734,3896.898
2810,3895.7249
2925,3897.0754
2970,3896.238
2739,3895.9976
2718,3895.9275
3098,3895.7097
3416,3895.5647
3721,3895.4438
3608,3895.3254
3475,3895.2256
3384,3895.1382
3668,3895.0605
3624,3894.9922
3518,3894.9324
3695,3894.8796
3745,3894.8328
4044,3894.7917
4332,3894.756
4006,3894.7244
4252,3894.6963
4056,3894.6719
4129,3894.65
3950,3894.6309
3980,3894.6145
4000,3894.5999
4022,3894.5864
3832,3894.5752
3820,3894.5654
4017,3894.5564
4008,3894.5483
3671,3894.5415
4155,3894.5356
3922,3894.53
4079,3894.5256
4063,3894.5215
4085,3894.5178
4061,3894.5146
3882,3894.5117
3999,3894.5098
3692,3894.5073
3976,3894.5056
