True,Pred
2822,3895.7202
2850,3878.0332
2634,3898.1616
2734,3889.33
2810,3887.4023
2925,3887.7964
2970,3886.0442
2739,3885.0647
2718,3884.2898
3098,3883.4329
3416,3882.7166
3721,3882.0757
3608,3881.4866
3475,3880.9617
3384,3880.489
3668,3880.0625
3624,3879.6792
3518,3879.3345
3695,3879.024
3745,3878.7444
4044,3878.4927
4332,3878.266
4006,3878.0625
4252,3877.879
4056,3877.7139
4129,3877.565
3950,3877.4312
3980,3877.3105
4000,3877.2024
4022,3877.1045
3832,3877.0166
3820,3876.9373
4017,3876.8667
4008,3876.8027
3671,3876.7446
4155,3876.693
3922,3876.6462
4079,3876.6045
4063,3876.5662
4085,3876.5325
4061,3876.5017
3882,3876.4744
3999,3876.4487
3692,3876.4272
3976,3876.407
