True,Pred
2822,3890.3044
2850,3883.774
2634,3912.3894
2734,3904.222
2810,3908.8118
2925,3913.9824
2970,3915.8943
2739,3919.31
2718,3922.4055
3098,3925.1816
3416,3928.0361
3721,3930.7532
3608,3933.373
3475,3935.9255
3384,3938.3906
3668,3940.7778
3624,3943.0923
3518,3945.3325
3695,3947.5027
3745,3949.606
4044,3951.6438
4332,3953.6187
4006,3955.5325
4252,3957.387
4056,3959.1848
4129,3960.9275
3950,3962.617
3980,3964.2546
4000,3965.8433
4022,3967.3833
3832,3968.8767
3820,3970.3252
4017,3971.73
4008,3973.092
3671,3974.4136
4155,3975.6958
3922,3976.939
4079,3978.1458
4063,3979.3162
4085,3980.4514
4061,3981.5532
3882,3982.6223
3999,3983.6597
3692,3984.6665
3976,3985.6433
