True,Pred
2718,3657.7727
3098,3477.2876
3416,3337.793
3721,3179.328
3608,3151.466
3475,3078.48
3384,2921.8127
3668,2785.588
3624,2667.541
3518,2568.658
3695,2527.444
3745,2438.3481
4044,2334.0354
4332,2234.217
4006,2138.6028
4252,2075.7786
4056,2018.5099
4129,1945.5513
3950,1867.7134
3980,1788.8823
4000,1720.5854
4022,1667.7126
3832,1614.0425
3820,1555.6681
4017,1494.411
4008,1434.2468
3671,1382.7805
4155,1337.3788
3922,1291.9866
4079,1244.8855
4063,1196.5153
4085,1150.697
4061,1109.9597
3882,1072.1295
3999,1034.7678
3692,996.7273
3976,958.79895
