True,Pred
2718,0.21246581
3098,0.21246581
3416,0.21246581
3721,0.21246581
3608,0.21246581
3475,0.21246581
3384,0.21246581
3668,0.21246581
3624,0.21246581
3518,0.21246581
3695,0.21246581
3745,0.55202466
4044,0.9809285
4332,1.4428437
4006,1.9350973
4252,2.422542
4056,2.907846
4129,3.3801348
3950,3.9026787
3980,4.48549
4000,4.4604397
4022,3.7391877
3832,1.9506292
3820,0.21246581
4017,0.21246581
4008,0.21246581
3671,0.21246581
4155,0.21246581
3922,0.21246581
4079,0.21246581
4063,0.21246581
4085,0.21246581
4061,0.21246581
3882,0.21246581
3999,0.55202466
3692,0.9809285
3976,1.4428437
