True,Pred
2822,21.184021
2850,20.856457
2634,20.904236
2734,20.826166
2810,20.821928
2925,20.821457
2970,20.821157
2739,20.821138
2718,20.821133
3098,20.82113
3416,20.82113
3721,20.82113
3608,20.82113
3475,20.82113
3384,20.82113
3668,20.82113
3624,20.82113
3518,20.82113
3695,20.82113
3745,20.82113
4044,20.82113
4332,20.82113
4006,20.82113
4252,20.82113
4056,20.82113
4129,20.82113
3950,20.82113
3980,20.82113
4000,20.82113
4022,20.82113
3832,20.82113
3820,20.82113
4017,20.82113
4008,20.82113
3671,20.82113
4155,20.82113
3922,20.82113
4079,20.82113
4063,20.82113
4085,20.82113
4061,20.82113
3882,20.82113
3999,20.82113
3692,20.82113
3976,20.82113
