True,Pred
2822,20.03766
2850,18.7365
2634,18.327183
2734,17.989132
2810,17.945381
2925,17.932936
2970,17.928543
2739,17.927618
2718,17.927368
3098,17.927303
3416,17.927284
3721,17.927277
3608,17.927277
3475,17.927277
3384,17.927279
3668,17.927277
3624,17.927279
3518,17.927277
3695,17.927279
3745,17.927277
4044,17.927279
4332,17.927277
4006,17.927279
4252,17.927277
4056,17.927279
4129,17.927277
3950,17.927279
3980,17.927277
4000,17.927279
4022,17.927277
3832,17.927279
3820,17.927277
4017,17.927279
4008,17.927277
3671,17.927279
4155,17.927277
3922,17.927279
4079,17.927277
4063,17.927279
4085,17.927277
4061,17.927279
3882,17.927277
3999,17.927279
3692,17.927277
3976,17.927279
