,Month,Deaths,LSTM Predictions,SARIMA Predictions
0,2015-01-01,2771,0.0,0.0
1,2015-02-01,2627,0.0,2374.844442837437
2,2015-03-01,2907,0.0,2739.695909158926
3,2015-04-01,2822,0.0,2821.1095994020243
4,2015-05-01,2850,0.0,2858.638137351528
5,2015-06-01,2634,0.0,2836.224247864585
6,2015-07-01,2734,723.5759887695312,2685.2814741836546
7,2015-08-01,2810,753.9159545898438,2701.074664129885
8,2015-09-01,2925,760.0211791992188,2799.681878276099
9,2015-10-01,2970,780.8145141601562,2901.30771303221
10,2015-11-01,2739,772.7808227539062,2964.7489781989057
11,2015-12-01,2718,751.3697509765625,2791.9035149533643
12,2016-01-01,3098,748.2538452148438,4664.446980877921
13,2016-02-01,3416,808.4783325195312,3325.5472776976567
14,2016-03-01,3721,868.8446044921875,3509.51539828518
15,2016-04-01,3608,904.022216796875,3662.606165062633
16,2016-05-01,3475,898.8099365234375,3638.2384469626973
17,2016-06-01,3384,912.4988403320312,3286.282474665737
18,2016-07-01,3668,924.65966796875,3452.0607522631835
19,2016-08-01,3624,987.4678955078125,3709.608750808333
20,2016-09-01,3518,981.6112060546875,3777.7460182510886
21,2016-10-01,3695,955.3255004882812,3616.964222873382
22,2016-11-01,3745,967.6060180664062,3407.8356480023695
23,2016-12-01,4044,1004.0802001953125,3685.486406775172
24,2017-01-01,4332,1045.21533203125,4264.992913709214
25,2017-02-01,4006,1085.9580078125,4696.848357084572
26,2017-03-01,4252,1068.1844482421875,4419.343965698962
27,2017-04-01,4056,1098.5089111328125,4137.026422582867
28,2017-05-01,4129,1104.462646484375,3994.168474438697
29,2017-06-01,3950,1135.558837890625,3954.193755303934
30,2017-07-01,3980,1085.198974609375,4202.34564528719
31,2017-08-01,4000,1103.602294921875,4016.074951903773
32,2017-09-01,4022,1090.124267578125,3945.476190407461
33,2017-10-01,3832,1099.300048828125,4150.450673102987
34,2017-11-01,3820,1058.8326416015625,3868.3610450530473
35,2017-12-01,4017,1052.811767578125,4017.4312774304785
36,2018-01-01,4008,1079.9974365234375,4288.251999178967
37,2018-02-01,3671,1087.0546875,4006.763340302655
38,2018-03-01,4155,1025.380859375,3991.626517935864
39,2018-04-01,3922,1078.7327880859375,3946.1588365461175
40,2018-05-01,4079,1077.93603515625,3953.2686411704726
41,2018-06-01,4063,1094.5338134765625,3874.809411707284
42,2018-07-01,4085,1067.2242431640625,4162.4130065939
43,2018-08-01,4061,1111.33837890625,4125.323170504699
44,2018-09-01,3882,1090.6124267578125,4064.024847058771
45,2018-10-01,3999,1078.122802734375,3894.431850102902
46,2018-11-01,3692,1087.259033203125,3916.9953959605755
47,2018-12-01,3976,1049.681884765625,3961.5944443951166
48,2019-01-01,3931,1049.681884765625,4066.4653482623075
49,2019-02-01,3727,64.22228240966797,3925.699672964015
50,2019-03-01,4285,98.4288101196289,4280.742985047689
51,2019-04-01,3934,-337.73565673828125,4105.937013516101
52,2019-05-01,4100,8.190780639648438,4158.24365968396
53,2019-06-01,4112,-12.941976547241211,4057.753125615842
54,2019-07-01,4296,3.305246353149414,4154.347121244781
55,2019-08-01,4371,-0.37696248292922974,4150.264710180533
56,2019-09-01,4252,1.217474341392517,4076.12358525256
57,2019-10-01,4529,0.6745414137840271,4127.190535942772
58,2019-11-01,4560,0.455641508102417,3976.694099731176
59,2019-12-01,4645,0.3664293885231018,4209.919711254388
