True,Pred
2634,3985.9568
2734,3946.9272
2810,4005.9485
2925,3954.5608
2970,4023.6858
2739,4031.5789
2718,4036.461
3098,4056.7373
3416,4064.922
3721,4090.0745
3608,4102.5815
3475,4116.2056
3384,4132.7666
3668,4148.01
3624,4165.222
3518,4180.144
3695,4195.7397
3745,4211.936
4044,4227.949
4332,4244.1562
4006,4260.0586
4252,4276.2207
4056,4292.525
4129,4308.824
3950,4325.1807
3980,4341.5576
4000,4358.0454
4022,4374.6
3832,4391.1997
3820,4407.8594
4017,4424.5806
4008,4441.374
3671,4458.229
4155,4475.143
3922,4492.121
4079,4509.164
4063,4526.272
4085,4543.444
4061,4560.6787
3882,4577.9795
3999,4595.345
3692,4612.7764
3976,4630.273
