True,Pred
2970,4836.253
2739,4881.8296
2718,4299.4243
3098,5077.9307
3416,4126.02
3721,3999.3809
3608,4126.2397
3475,4299.283
3384,5153.729
3668,5835.3833
3624,4873.3877
3518,5630.3813
3695,4689.3633
3745,4249.5728
4044,4420.8184
4332,4754.995
4006,5974.5366
4252,5692.4355
4056,5741.2183
4129,6037.7764
3950,5125.7236
3980,4632.8394
4000,4825.3022
4022,5116.2817
3832,6547.648
3820,6848.7837
4017,6606.6997
4008,7040.011
3671,5610.3955
4155,5114.34
3922,5958.0693
4079,5808.617
4063,7384.2007
4085,7115.381
4061,7152.236
3882,8148.394
3999,6345.8477
3692,5735.3413
3976,6056.3105
