lookback,batch_size,epochs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
5,8,50,803.5518593220374,121.35376827374448,733.4090464274088,144.21402455389222,21.27389937393689,3.7694658089985777
5,8,100,829.6799902283651,113.28561070476538,764.8654907226562,126.35152302438892,22.10121959431156,3.2763988592246336
5,16,100,834.0728209044662,151.53497750934727,762.1050587972005,165.1329873073522,21.97027236661148,4.127219319313455
3,16,100,839.5308168413989,60.730904394432926,779.1691569010417,63.79934077692137,22.82520843613707,1.6416892525779312
3,8,100,840.0019275202408,89.57338599283325,778.0023111979167,99.29717280760318,22.79617560147255,2.5846187380544574
7,32,100,847.3906991020065,193.0122577188752,781.3995758056641,215.7671947376473,21.908436731651985,5.611600200802655
7,16,100,891.6008856710406,423.7086024481544,812.5280253092448,406.9679299145776,22.65810637280796,10.224964140018663
9,8,100,893.5239761519097,537.0529820994498,826.7954386393229,548.9295132385124,22.68713645841984,14.26871493731808
11,8,100,896.5419310126637,285.7097046713024,833.1836298624675,273.8955909699721,22.22024839272741,6.99215087388548
7,8,100,904.832237790664,353.2812655413375,827.0312520345052,356.92880570031065,23.082281048657528,9.201313813897972
5,32,100,963.436779602018,530.7043210093797,904.8108317057292,537.8121362364126,25.804829471844304,14.326329740569689
5,16,50,966.1426717656178,883.7263100284365,873.6781860351563,759.9709805681724,24.82910915542568,19.60432814845352
7,8,50,1017.7588474826374,671.6143493895988,935.4663909912108,592.8530701291661,25.882111194546063,15.236001540925624
3,8,50,1026.1347043144096,721.5076840952769,967.6024739583332,728.3770058894089,27.891036949593445,19.56609546149483
11,32,100,1034.254999537257,810.9996280233353,931.1503987630208,764.7957611481789,24.668423600914316,19.511910029311988
12,8,100,1041.848303032284,666.8001037992757,960.7523274739584,654.6275632768268,25.064398370633555,16.84777434310434
9,8,50,1072.5278802795867,690.0599316348594,1002.1042032877604,676.8281979903611,27.15040821212345,17.475860615296863
11,16,100,1080.3175075189615,821.6957890231527,989.9728586832682,792.0270160690026,26.227799839941824,20.34113515691593
11,8,50,1113.5309467820675,785.8684592704882,1047.8011159261068,789.5363032276202,27.755141549261133,20.353626363484015
12,16,100,1122.553342810674,876.2810424446278,1035.361636352539,855.9371044478588,26.92912887275637,21.91264903036359
9,16,100,1142.4109551945885,840.2727544096381,1076.9893666585288,837.8561545356667,29.126719476524908,21.728799999698577
3,32,100,1162.1930953520402,770.0379782054033,1085.5567545572917,735.0033736288113,30.66449202112886,19.06478722919537
12,8,50,1163.110499546428,854.6668295338583,1065.0192952473958,818.0286353747231,27.653053108020163,20.823830318293137
12,16,50,1187.7623179430068,871.9895915806997,1109.1324930826822,860.8634994073586,28.84870622862589,22.131519150081623
9,16,50,1198.667570576985,890.5293687539714,1110.9359100341796,882.6139505586713,29.96051372953101,22.94031762313136
9,32,100,1413.264975888531,1054.6972869199656,1295.967162068685,997.369833192817,34.584632487601034,25.7470696698315
12,32,100,1431.8138317300718,1090.7285833953154,1332.9302357991537,1071.1185083830849,34.590143351271465,27.52824718817732
11,16,50,1512.655273590726,1105.1481884451211,1397.2072026570638,1068.044454122327,36.56524022208351,27.444790638607326
7,32,50,1535.921753654173,1223.567203945464,1442.3792633056642,1219.4471810759717,38.95668827183833,31.839801476034182
7,16,50,1569.1292752429556,1547.3753298733095,1440.1995473225911,1393.7844773574686,38.96346028713924,36.04636396127746
9,32,50,1715.8622995115643,1189.1120932950655,1607.3902526855468,1166.852448966955,42.50382296001213,29.91949605323449
3,16,50,1722.410978391899,1151.3438098991833,1617.159444173177,1100.2689493594876,44.59905825615204,28.874802887808286
12,32,50,1874.826801485912,3681.826611997272,1633.0379740397136,2919.1412494437814,42.02755100029789,74.16041616492319
11,32,50,1994.8829235061248,1253.5178785378882,1835.1004994710288,1184.3484543301286,47.687413463172255,30.30997026545234
5,32,50,2091.5603960318645,1366.7758205748164,1953.992133585612,1313.1698848623598,53.048242591078825,34.58903029600464
3,32,50,2793.178351937356,1152.4545887800475,2677.590291341146,1149.546025860452,72.47309165412645,30.727973800622195
