True,Pred
2822,3918.6729
2850,3849.254
2634,3956.298
2734,3926.4553
2810,3921.3398
2925,3963.086
2970,3954.8848
2739,3964.2979
2718,3983.8916
3098,3986.7036
3416,3998.1885
3721,4010.9028
3608,4018.4465
3475,4029.6338
3384,4040.454
3668,4049.8516
3624,4060.6384
3518,4071.054
3695,4081.1511
3745,4091.7466
4044,4102.154
4332,4112.5293
4006,4123.082
4252,4133.567
4056,4144.0796
4129,4154.663
3950,4165.236
3980,4175.8433
4000,4186.4883
4022,4197.1465
3832,4207.8364
3820,4218.555
4017,4229.2964
4008,4240.0664
3671,4250.864
4155,4261.6865
3922,4272.5376
4079,4283.415
4063,4294.3193
4085,4305.251
4061,4316.21
3882,4327.196
3999,4338.209
3692,4349.25
3976,4360.318
