True,Pred
2822,3884.9187
2850,3857.0977
2634,3894.675
2734,3875.901
2810,3873.2612
2925,3876.6511
2970,3872.2126
2739,3871.027
2718,3870.2336
3098,3868.4927
3416,3867.3826
3721,3866.3118
3608,3865.1921
3475,3864.2288
3384,3863.3137
3668,3862.4468
3624,3861.6497
3518,3860.902
3695,3860.203
3745,3859.5525
4044,3858.9443
4332,3858.3767
4006,3857.8477
4252,3857.3533
4056,3856.8914
4129,3856.4614
3950,3856.0588
3980,3855.6838
4000,3855.3337
4022,3855.0068
3832,3854.7017
3820,3854.417
4017,3854.1516
4008,3853.9033
3671,3853.6716
4155,3853.4556
3922,3853.2537
4079,3853.066
4063,3852.8901
4085,3852.726
4061,3852.5732
3882,3852.4302
3999,3852.297
3692,3852.1724
3976,3852.0564
