True,Pred
2970,3936.2654
2739,3946.9158
2718,3958.371
3098,3969.4673
3416,3979.828
3721,3989.2874
3608,3997.6714
3475,4005.3164
3384,4011.8677
3668,4017.969
3624,4023.4329
3518,4028.3467
3695,4032.765
3745,4036.738
4044,4040.3113
4332,4043.5234
4006,4046.412
4252,4049.0088
4056,4051.3428
4129,4053.441
3950,4055.3267
3980,4057.0212
4000,4058.5442
4022,4059.9128
3832,4061.1426
3820,4062.2468
4017,4063.2405
4008,4064.1323
3671,4064.9336
4155,4065.6538
3922,4066.3005
4079,4066.8816
4063,4067.4033
4085,4067.873
4061,4068.2937
3882,4068.6726
3999,4069.0125
3692,4069.3176
3976,4069.592
