True,Pred
3098,4001.3418
3416,4015.0486
3721,4030.6414
3608,4033.576
3475,4038.911
3384,4039.968
3668,4040.5767
3624,4040.509
3518,4041.067
3695,4045.5652
3745,4048.336
4044,4057.3872
4332,4061.0505
4006,4063.825
4252,4066.0303
4056,4067.718
4129,4069.2068
3950,4070.51
3980,4071.7502
4000,4072.963
4022,4074.1738
3832,4075.37
3820,4076.4656
4017,4077.481
4008,4078.2852
3671,4078.9785
4155,4079.586
3922,4080.1255
4079,4080.6135
4063,4081.0579
4085,4081.4644
4061,4081.8367
3882,4082.1763
3999,4082.482
3692,4082.7554
3976,4082.999
