lookback,batch_size,epochs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
12,16,100,310.70702661610704,4.845037260580976,224.62256627965857,5.045686548093033,6.221108510049702,0.1373184633478189
12,8,50,329.4189974358209,4.026253301978142,248.18318051938653,5.345588388670688,6.8493123034178245,0.1410381511916163
12,8,100,343.0706705670206,8.696580564188992,265.6434192798756,11.207879495943688,7.309813272521487,0.2949395497949163
12,16,50,347.6797620692504,11.10043190346336,273.61498684353296,14.782847110187808,7.513517134088258,0.3864129934511314
11,16,100,445.7148857913788,391.7290255184615,344.3838354712134,372.3065179682676,9.590204431141965,9.538296351165627
9,8,100,452.04155354727646,64.1123767630128,330.5973432491987,76.59877703951892,9.754551617602598,2.0815860160446946
11,8,100,454.80750948067976,57.638233430273445,369.9367260082348,74.16175926988315,10.384068388556784,1.961714225707278
9,16,100,456.3660709651406,25.880390008117004,322.75745400974904,32.22651804328935,9.6316836924552,0.8733445345039634
9,8,50,468.7335889255679,31.513826521035767,338.18623464209406,45.34059434717789,10.05468984960146,1.2045764720591046
9,16,50,494.6932676939196,48.52512891822257,386.21107188167736,56.42548852544278,11.282007054093652,1.5737418596302906
7,8,100,537.766305267112,58.08831032805422,396.917666253811,81.50841035459894,12.0292166471857,2.1469870303079404
3,32,100,549.5555818111213,5.937498738005681,387.9812928602431,2.530782843563879,12.446705769297957,0.0536850698623562
7,8,50,551.1248382977863,38.29540805996447,423.918037228468,56.90315663329781,12.74278581337649,1.494423828133892
5,16,100,557.3862422554921,14.664868180707783,387.0915339980015,18.576547903833067,12.290081973588112,0.5109226538865287
11,8,50,559.8238516756752,372.5542771370702,484.63712279173694,357.2221779045036,13.340464125350666,9.136802883186542
5,16,50,564.3343600807035,12.945188189356044,405.5398144152738,21.614629849444,12.781969711146823,0.584531110476212
3,16,50,564.8280444112567,5.317667186906213,388.8781727430555,2.6453945467870947,12.586241695949674,0.0969205422651721
11,32,100,573.3765540290692,236.9184307472613,505.0779435441301,238.82636446103945,13.873046574900384,6.105546979089155
5,8,100,576.9833097342868,10.463753502173446,403.5931801492853,21.056258426298896,12.78277456138833,0.4727139491257559
3,32,50,613.8158829833491,14.875809071902957,461.7650003616898,26.929597436288148,14.627017179218578,0.7214823051218155
5,32,50,617.5303639619937,32.96914155112209,498.0245616824128,49.35659629305432,15.219051017926304,1.3061052657431416
7,16,50,625.93291697014,426.3866886070768,481.5278268705539,452.6125475543033,14.122267504245618,11.761496845042512
11,16,50,629.4976054801471,539.3650665166862,549.3837463928771,502.58621657111047,14.977652473762188,12.825608111080031
5,8,50,630.2569187019,20.14765063099389,503.5061909520349,33.49622303962115,15.438538142011858,0.872224215345827
3,16,100,642.9302987869772,15.02269000499927,491.4495243778936,29.19741193033115,15.50154971670412,0.7632466737360545
3,8,50,649.577980887972,85.3044081720054,521.7924334490741,121.19632051412484,16.162518936609715,3.31772964880154
11,32,50,673.706915677671,529.5074417844334,581.5532336535755,523.6867223406737,15.778059003468035,13.399131008774154
9,32,50,675.3261569406816,449.34071624615575,570.9062959067843,458.9622543909561,16.065834190052335,11.828443869296295
5,32,100,679.5243498677482,41.05208713612737,576.3148808442345,61.469692566661536,17.349078425623354,1.62064591209941
3,8,100,689.1364861441416,55.74240654827486,562.516808629919,95.94215694602872,17.367128410444554,2.50825677588058
9,32,100,726.0718163596874,587.088142401752,604.4720559144631,605.0312087523148,16.807772946830177,15.63911748086187
7,16,100,813.0947268230951,620.9840236283774,685.8782865694868,626.3941049422424,19.493883670536817,16.176782243006205
7,32,50,876.0219491115653,678.7257694783941,749.268267474911,693.1312523882618,21.057707783464974,17.954559319872835
12,32,50,934.58655377596,292.48791109861133,885.4858565719039,296.1176768932199,23.15768302006459,7.571206375664952
12,32,100,952.9910393544056,283.03159480090903,905.104902479384,277.1000081831696,23.6608330059958,7.074774767464944
7,32,100,1139.152209789824,761.9137252565105,1046.3026553766515,745.1458098735566,28.75000859949709,19.288905496662508
