lookback,batch_size,epochs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
3,16,50,835.3761711996829,313.63220671082496,736.582553100586,320.5971035696556,21.404143268766237,8.228006567081724
3,32,100,913.9471115839812,478.265142452527,804.8465240478515,463.26008753547,23.058892386710003,11.772988965879206
3,16,100,1008.3354318023128,577.9715007713081,895.1441467285156,546.5318967194956,25.2068758775789,14.14268857223158
3,8,50,1711.1718566702211,616.8936179300961,1556.472530110677,549.5241613665846,41.966181021786966,13.918478621634872
11,16,100,1742.736622825803,3302.165733734917,1356.6802459716796,2197.273840741133,35.204855736820015,55.445560757329424
9,8,100,1945.0286304893127,1809.61484578931,1665.9695271809896,1504.5589420300169,43.65996215613799,38.54432817226016
7,16,100,2143.728972648825,2515.7937669139915,1800.9482167561848,2071.6312217495906,47.832453232044806,53.11598257014949
5,16,100,2304.239668341462,1950.4887334619573,2027.599272664388,1668.4952622594203,54.60815811698042,42.917334445185496
9,16,100,2414.5719418877225,4417.239069820285,1949.501514689128,2822.9579132791387,50.930250395309535,71.44905836566399
7,32,100,2544.099087802104,6611.615534860195,1926.7399678548177,3961.165642458323,50.85387555445345,99.96925384846068
12,8,100,3165.6243166037384,2910.3171060081645,2616.055522664388,2156.7722380977275,66.90846552836167,54.78641988826247
11,16,50,3851.2035713982273,4085.0278944284014,2793.4099080403644,2491.1075823108185,71.89661265974225,63.4602451451518
7,16,50,3933.120723510607,13624.727067668107,2344.420311482748,6474.209636689035,61.40480683374894,163.5691094255379
11,8,100,4676.696398030881,11368.3742924957,3438.649513244629,7145.153347537303,87.80183858091684,181.1857469592943
5,8,100,5067.489032043626,3516.26785022389,4287.606242879232,2805.116674137829,112.5449172489,71.99113795049544
12,16,100,5231.479054868633,9730.714109889188,3091.528791809082,4339.780637235409,78.88171642353727,110.13292351337904
12,32,100,9633.2745100277,37474.17599475477,4912.713869222005,17328.305477913236,125.28855087580088,441.5806506912013
5,8,50,11588.517491048884,56220.7326729726,4903.65111694336,20481.482165878097,126.68881424880304,522.3598065410129
7,8,50,11817.247802551014,43492.75770330186,7677.43933614095,24886.068404036057,196.7128218450681,630.9795877928603
7,8,100,18223.081094180165,12848.86588152085,13765.061100260416,8965.339246020303,352.6135737801985,227.85935434286685
5,32,100,19122.166541629354,94054.26904912572,10163.709344482422,46176.77740846472,260.1381275084732,1167.2335170336664
3,8,100,21815.613746171228,33081.42614705754,15131.404930623372,21742.97362480269,388.359990535913,553.9098905424928
5,16,50,149215.57452099028,799866.5339537214,49470.69267578125,260702.2026535892,1266.583180477238,6662.611032382652
12,8,50,524873.0544247802,1632905.8874771968,146228.1346028646,453208.3251770281,3745.000983315205,11610.332419495857
5,32,50,587567.4315002321,3132147.2358487323,216563.1925120036,1145861.1670955168,5533.269041494908,29266.894991032223
3,32,50,2046904.8645924367,11205880.92954354,594846.7354838053,3253239.207501961,15444.547053321405,84453.96726972594
9,8,50,13119398.012809224,49939193.13741131,4267291.259940593,16372309.633542774,109139.57334143536,418731.2803360429
12,16,50,15507973.00276055,74899097.45473215,4020934.1242451984,18504815.9147482,102889.23934664667,473639.9288312949
12,32,50,46769322.72014535,254891060.18849748,11368214.430922445,61729792.77919822,290925.46177474345,1579800.000369647
9,32,50,99518063.05504677,544467033.2546399,28625795.321266685,156562843.8463812,733280.6311391166,4010587.271784835
9,16,50,157725138.90103775,656259874.2407683,42017978.27416992,166121170.24119186,1075113.2580030158,4251333.54436167
11,32,50,2301356384.5902686,12565243671.19337,615427520.3169022,3356473585.781039,15768299.27338194,85999682.87631203
11,32,100,5603155950.750895,30689732377.93746,1514815510.0095313,8296975297.648996,38813869.64946282,212592037.2709489
9,32,100,617932349518.7485,3384554300109.927,151696164624.70938,830873898038.1285,3885193834.280934,21280077504.293247
11,8,50,1093842945830.9684,5991224547693.942,245251896314.39117,1343299951505.578,6267567788.44911,34328882395.681736
7,32,50,2328616423556.2056,10615506553148.955,581231662161.5199,2674164977960.845,14890598091.165014,68515008811.66254
