True,Pred
2718,3964.2664
3098,3905.5908
3416,3842.62
3721,3768.8975
3608,3805.423
3475,3688.096
3384,3691.8188
3668,3631.4585
3624,3551.9954
3518,3632.6763
3695,3556.2922
3745,3555.2275
4044,3420.4849
4332,3447.9128
4006,3403.9592
4252,3382.757
4056,3348.4102
4129,3279.4966
3950,3262.582
3980,3238.7175
4000,3222.181
4022,3159.6829
3832,3116.7036
3820,3106.3147
4017,3071.8723
4008,3049.2734
3671,2995.4263
4155,2968.9744
3922,2936.8574
4079,2920.5103
4063,2885.1829
4085,2842.9175
4061,2815.5405
3882,2791.4185
3999,2768.0474
3692,2731.3418
3976,2698.9478
