True,Pred
2718,4148.507
3098,3886.1135
3416,3301.35
3721,3694.3306
3608,4615.46
3475,4518.6494
3384,2880.682
3668,2796.425
3624,5466.011
3518,7071.6406
3695,5609.8447
3745,4262.8525
4044,6151.7803
4332,9588.622
4006,8505.431
4252,7136.0366
4056,7961.1074
4129,12063.47
3950,10449.543
3980,8241.131
4000,9257.67
4022,16136.652
3832,15510.309
3820,11270.603
4017,9834.734
4008,20331.59
3671,24187.016
4155,19439.502
3922,16111.921
4079,28257.697
4063,36948.836
4085,28588.9
4061,23848.723
3882,39170.17
3999,54403.56
3692,39914.953
3976,29429.365
