True,Pred
2822,3898.5051
2850,2402.6965
2634,2917.6948
2734,2441.8054
2810,2673.3667
2925,2649.466
2970,2769.8718
2739,2787.9531
2718,2533.9465
3098,2648.4612
3416,3014.8274
3721,3243.018
3608,3523.9148
3475,3314.9744
3384,3295.1855
3668,3223.2654
3624,3534.2146
3518,3353.4255
3695,3319.3984
3745,3544.682
4044,3509.5615
4332,3866.878
4006,4091.2903
4252,3650.5815
4056,4162.1743
4129,3724.3833
3950,3984.3604
3980,3681.1287
4000,3829.9932
4022,3768.9702
3832,3793.5684
3820,3580.374
4017,3673.1646
4008,3826.0413
3671,3735.3765
4155,3409.8337
3922,4112.804
4079,3556.0505
4063,3957.2854
4085,3790.3394
4061,3868.0225
3882,3825.6895
3999,3643.5706
3692,3859.441
3976,3402.223
