True,Pred
2810,2627.0
2925,2627.0
2970,3409.9226
2739,2627.0
2718,2627.0
3098,2723.2195
3416,2627.0
3721,3119.8914
3608,2627.0
3475,2627.0
3384,2825.2478
3668,2627.0
3624,2888.5176
3518,2627.0
3695,2627.0
3745,2870.4175
4044,2627.0
4332,2699.5737
4006,2632.3662
4252,2627.0
4056,2835.9722
4129,2627.0
3950,2627.0
3980,2680.4836
4000,2627.0
4022,2768.202
3832,2627.0
3820,2627.0
4017,2712.2415
4008,2627.0
3671,2674.4248
4155,2627.0
3922,2627.0
4079,2709.9524
4063,2627.0
4085,2627.0
4061,2664.3787
3882,2627.0
3999,2680.4111
3692,2627.0
3976,2627.0
