lookback,batch_size,epochs,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
3,16,50,2717.596088127066,1406.3331798099184,2656.0630482991537,1447.6377354412916,73.20779177486388,39.19556554198841
3,32,100,2805.652163290056,1215.843073064868,2730.9017313639324,1262.9334163544563,74.6466788219664,34.666948411228134
5,8,50,2955.0991347690497,1777.190575042884,2836.8058074951173,1646.5807244485943,77.02174361365267,43.57514078924223
3,32,50,3142.984714022903,1080.718452123576,3081.279591878256,1106.0067974114477,84.37077805575105,30.195050471433465
7,8,50,3310.8010298179224,1445.0042483748844,3198.66032409668,1373.988274101236,85.3089717665225,36.0708330540331
11,8,100,3688.0465362286905,1558.2187515009573,3556.988535563151,1280.7289930520988,92.47408244659395,33.040462692293985
5,16,100,4328.812651669316,6869.5773785267575,3391.6431752522785,2521.9587430562037,91.15654449858,64.28094071186558
12,8,50,4861.812330613287,6919.657195096565,4089.30439453125,3495.498241077189,105.41463366698736,87.97184003118576
7,16,100,5387.819225311049,8605.532876901027,4518.797179158529,5811.897020370479,118.85140151019124,147.4029208291355
9,16,50,6913.83555816561,12283.31073470162,5382.891222127279,7075.578072162837,140.24177355584263,178.83773947590612
5,8,100,7160.2485146098425,16914.809656072077,4680.337545776367,4803.678021715131,124.06213329180731,119.28591834555132
3,8,100,13973.685961602434,46579.62051280672,9924.022477213544,28080.646373013264,259.60883000312964,712.5809802091851
5,32,50,17152.49606159911,77714.88828510625,10031.022474161784,39050.51879202691,259.7643334530581,991.4309869196032
9,32,100,21921.343954169737,97663.61019573906,9423.88590698242,30720.85560854604,246.080561739511,797.3718412030548
11,16,50,25041.676725748355,103072.10451961252,13654.485749308267,48203.93490481679,351.13893437769184,1236.186599442416
12,8,100,26735.142801846134,97109.30523571884,16383.777314249675,51539.40934579426,424.7078075703209,1349.3943481504791
7,32,50,38268.88315570373,192342.6858160566,11622.697837320964,46688.05195542869,295.5627974987741,1163.943640680609
7,32,100,56006.02351799678,199266.47388407137,29854.172329711917,100648.83155768752,762.5057103537788,2554.011070247514
11,8,50,9870554.365624594,54043680.62937941,3006167.991438802,16446177.418272087,76989.1979312132,421184.5044698047
9,32,50,38805413.78611718,212525678.59633717,12265337.19758911,67160565.76767124,313871.6531430876,1718633.7078391314
3,8,50,45042749.5749171,246692372.62040016,16311461.835703531,89325125.94953404,415852.9456669641,2277271.2988185706
12,32,50,192065690.27297395,1051931052.102824,51390777.33493348,281437747.47719765,1316670.2319171487,7210647.228001892
9,16,100,273364086.73900753,1432165496.0549974,95721968.01401468,498403670.73314,2445288.3096960247,12733688.479294552
12,16,50,7928461371.471638,32812975510.188496,2207652306.065671,9282734707.847748,56560334.86281526,237836866.86526477
3,16,100,8534003761.098838,46742647241.0904,2666058112.536397,14602585574.74233,68159274.82348219,373323282.39007777
9,8,100,46662174952.96719,255579237569.54556,12877624193.069624,70533633568.30678,329950718.8478365,1807214013.2304568
9,8,50,68422378934.15275,374764749836.71295,18953524139.658867,103812692433.68912,485621309.1936093,2659856555.430608
11,32,50,2102424592674.0237,11515451057466.22,596900781657.6404,3269358970018.367,15293699855.622538,83767012025.12294
11,16,100,20547510175452.95,112543348190348.4,5332931153919.516,29209666870654.38,136620412170.65584,748300814698.445
7,16,50,30949652117601.42,150066412680252.12,8279618454137.376,40131523538763.89,212144258541.17236,1028269651421.8136
12,32,100,34575316589474.973,189376807633787.9,8104627390229.86,44390872104498.21,207277326176.4378,1135304664082.6946
7,8,100,5198804212779949.0,2.8475023393899468e+16,1277184260059677.5,6995426293229114.0,32718397891395.914,179206045704849.0
5,32,100,inf,,1.2452200815012786e+19,6.820351276966716e+19,3.1856894152839846e+17,1.7448739539564808e+18
11,32,100,inf,,2.2303055106877144e+16,1.2215886360648064e+17,569009277503003.0,3116592161376947.0
5,16,50,inf,,9.486135524684306e+16,5.195770410420492e+17,2428744158450954.5,1.3302779619924334e+16
12,16,100,inf,,5.72725856566501e+16,3.136816800316503e+17,1462168997807003.2,8008291447388422.0
