True,Pred
2718,3912.5918
3098,3870.511
3416,3832.7842
3721,3803.8394
3608,3809.5012
3475,3809.9463
3384,3809.673
3668,3778.244
3624,3763.4412
3518,3763.1038
3695,3773.3606
3745,3782.2861
4044,3785.8552
4332,3787.4573
4006,3794.7217
4252,3808.5554
4056,3824.8855
4129,3839.8525
3950,3855.552
3980,3872.0764
4000,3889.7007
4022,3906.2678
3832,3919.4653
3820,3928.4194
4017,3932.9795
4008,3932.7588
3671,3927.2666
4155,3916.7551
3922,3902.7405
4079,3887.36
4063,3872.406
4085,3858.5479
4061,3845.7117
3882,3833.8232
3999,3823.1614
3692,3814.201
3976,3807.1992
