True,Pred
2822,3746.052
2850,3687.3335
2634,3682.0156
2734,3582.196
2810,3534.2593
2925,3483.0713
2970,3418.5637
2739,3366.669
2718,3312.1162
3098,3257.056
3416,3205.0957
3721,3152.88
3608,3101.5686
3475,3051.4373
3384,3001.865
3668,2953.1772
3624,2905.323
3518,2858.2012
3695,2811.8755
3745,2766.3076
4044,2721.478
4332,2677.3882
4006,2634.0186
4252,2591.3582
4056,2549.3975
4129,2508.123
3950,2467.5242
3980,2427.5903
4000,2388.3103
4022,2349.6733
3832,2311.669
3820,2274.2866
4017,2237.5166
4008,2201.3484
3671,2165.7725
4155,2130.7788
3922,2096.3582
4079,2062.5012
4063,2029.1982
4085,1996.4407
4061,1964.2194
3882,1932.5256
3999,1901.3508
3692,1870.6865
3976,1840.524
