True,Pred
2822.0,3530.0964
2850.0000000000005,3503.8154
2634.0,3475.3894
2734.0,3436.5325
2810.0,3428.6511
2925.0,3421.6663
2969.9999999999995,3417.3506
2739.0,3415.6782
2718.0000000000005,3414.5554
3097.9999999999995,3413.9636
3416.0,3413.6719
3721.0,3413.5007
3608.0,3413.4114
3475.0,3413.3643
3384.0,3413.338
3668.0,3413.3232
3623.9999999999995,3413.3171
3518.0,3413.3123
3694.9999999999995,3413.3105
3745.0,3413.309
4044.0,3413.3086
4332.0,3413.3086
4006.0,3413.308
4252.0,3413.3086
4056.0,3413.308
4129.0,3413.3076
3950.0,3413.3079
3980.0,3413.3079
4000.0,3413.3079
4021.9999999999995,3413.3079
3832.0,3413.3079
3820.0,3413.3079
4017.0,3413.3079
4008.0,3413.308
3671.0,3413.3086
4155.0,3413.3079
3922.0,3413.3074
4079.0,3413.3079
4063.0,3413.3079
4085.0,3413.3076
4061.0,3413.3079
3882.0,3413.3079
3999.0,3413.3076
3692.0,3413.3076
3976.0,3413.3079
