True,Pred
4484,4795.95
4911,4762.8267
5218,4869.255
5759,4848.1997
5456,4934.6094
5359,4992.228
5305,5072.8994
5769,5116.49
5565,5181.9775
5367,5232.0713
5633,5355.3164
5664,5510.441
6082,5692.9375
6505,5806.3804
5813,5919.7983
6379,5893.516
6091,5952.0513
6219,6034.5376
6052,6113.085
6105,6141.949
6030,6221.631
5969,6307.8174
5707,6373.2056
5681,6411.759
6052,6409.6816
5904,6322.398
5426,6369.372
6005,6287.7935
5766,6264.0483
5946,6205.5605
5981,6185.383
6104,6197.0225
5991,6169.693
5670,6145.3193
5709,6142.2295
5416,6136.7627
5793,6095.1797
5750,6068.438
5399,6148.033
6123,6110.774
5730,6176.331
6015,6118.396
5989,6120.557
6333,6084.6284
6388,6053.5093
6048,6084.99
6322,6144.4517
6405,6202.946
6523,6272.1455
