True,Pred
4462,4746.12
4642,4673.6675
4369,4734.737
4672,4605.359
4661,4695.375
4655,4728.6904
4716,4769.6567
4377,4793.504
4484,4658.054
4911,4625.3613
5218,4791.299
5759,5057.628
5456,5446.752
5359,5502.5107
5305,5462.016
5769,5365.338
5565,5543.6685
5367,5567.44
5633,5496.121
5664,5531.104
6082,5585.1943
6505,5822.055
5813,6128.4336
6379,5994.7734
6091,6130.2725
6219,6044.6196
6052,6113.0186
6105,6027.4717
6030,6026.58
5969,5981.1543
5707,5941.9395
5681,5796.3916
6052,5705.537
5904,5824.583
5426,5853.003
6005,5656.363
5766,5765.973
5946,5739.08
5981,5845.7676
6104,5872.491
5991,5964.944
5670,5952.3706
5709,5797.0625
5416,5711.6445
5793,5541.0874
5750,5638.0903
5399,5673.913
6123,5563.35
5730,5787.878
6015,5750.159
5989,5885.4043
6333,5888.904
6388,6080.706
6048,6193.2446
6322,6108.16
6405,6149.28
6523,6207.1064
