True,Pred
4462,4408.147
4642,3996.6597
4369,4185.143
4672,3927.6487
4661,4235.0254
4655,4180.9062
4716,4187.4375
4377,4243.913
4484,3935.5542
4911,4030.804
5218,4457.8774
5759,4665.9004
5456,5193.6606
5359,4889.6426
5305,4803.895
5769,4771.534
5565,5248.324
5367,4990.1216
5633,4818.6743
5664,5091.531
6082,5085.6475
6505,5515.1895
5813,5843.171
6379,5223.2617
6091,5808.691
6219,5459.8164
6052,5592.8965
6105,5439.976
6030,5492.9336
5969,5421.098
5707,5369.044
5681,5129.47
6052,5102.095
5904,5484.6763
5426,5299.738
6005,4873.534
5766,5476.4697
5946,5165.143
5981,5355.5176
6104,5376.923
5991,5495.2896
5670,5385.4053
5709,5094.0317
5416,5127.5493
5793,4869.0996
5750,5252.0156
5399,5158.217
6123,4853.1743
5730,5609.9565
6015,5126.3
5989,5432.901
6333,5378.6
6388,5731.197
6048,5732.6265
6322,5437.452
6405,5706.3325
6523,5753.216
