trial,trial_seed,train_rmse,train_mae,train_mape,train_pi_coverage,test_rmse,test_mae,test_mape,test_pi_coverage
0,42,264.3073504989208,210.4602242264093,5.499228940208177,94.11764705882352,1341.2571673852858,1163.1115315755208,18.958197101092054,58.333333333333336
1,1042,312.3045305211035,257.5342371323529,6.748465503773028,98.0392156862745,1307.6271798059129,1133.7393391927083,18.49546337929975,58.333333333333336
2,2042,282.9834429184398,229.67829924938727,6.011501198491987,94.11764705882352,1330.607297240784,1156.3416748046875,18.86024205673473,58.333333333333336
3,3042,311.9432370904232,254.76936848958334,6.688905258056472,94.11764705882352,1166.8805606292815,962.9300537109375,15.540998304922596,75.0
4,4042,315.05947753830293,255.18371821384804,6.701550446777259,98.0392156862745,1300.751905687143,1128.6558837890625,18.421436136366694,58.333333333333336
5,5042,303.8588260505165,248.39523494944854,6.523003227693058,98.0392156862745,1299.8118040052298,1122.8000895182292,18.29874151603159,58.333333333333336
6,6042,295.91185537597573,241.5411257276348,6.3326767803030775,98.0392156862745,1235.3224359993312,1045.5685221354167,16.95847900639866,58.333333333333336
7,7042,310.74023198906934,255.11072495404412,6.686862955143595,98.0392156862745,1294.3820913949598,1118.8037923177083,18.237110930621046,58.333333333333336
8,8042,260.49740366213723,209.11295572916666,5.567611857277843,96.07843137254902,1075.3598166363608,841.0685628255209,13.42504704652149,83.33333333333334
9,9042,235.40703692494975,184.71640912224265,4.859606858464476,94.11764705882352,1159.9180732899074,940.5509440104166,15.11353345743707,75.0
10,10042,298.5497769388712,241.8120548023897,6.301628177466789,94.11764705882352,1383.49142803102,1215.7788492838542,19.886584749060553,58.333333333333336
11,11042,273.6115788561519,218.9143497242647,5.774388594849679,94.11764705882352,1130.4235885201442,915.87109375,14.722548376246754,75.0
12,12042,280.4437307232845,220.64405732996323,5.743713992953381,94.11764705882352,1364.0717571414239,1192.4621175130208,19.481379383920007,58.333333333333336
13,13042,275.7559903634526,217.2895747166054,5.667641321132291,94.11764705882352,1288.6662776313829,1104.235107421875,17.954081846000093,58.333333333333336
14,14042,313.0583903843944,251.48769244025735,6.652381889080787,96.07843137254902,1301.7996067498605,1110.5974527994792,18.019273900348963,58.333333333333336
15,15042,302.0582593886233,246.67603496476715,6.465047042909165,98.0392156862745,1274.9162121371226,1094.0069580078125,17.801328339932965,58.333333333333336
16,16042,282.49078045183995,225.58328546262254,5.874969133400921,94.11764705882352,1241.6345396870006,1064.0109456380208,17.346508001898382,75.0
17,17042,243.68586877404024,195.94714594822304,5.1610270155311415,94.11764705882352,1163.6444342426498,955.4967041015625,15.397211967416904,75.0
18,18042,231.51247931837463,191.87798713235293,5.019938200027568,98.0392156862745,1409.6399720689801,1245.2958984375,20.396263388168887,58.333333333333336
19,19042,304.07275909945736,248.05078125,6.484876444458609,94.11764705882352,1354.1265492250377,1187.3722330729167,19.419614608823856,58.333333333333336
20,20042,316.70720715955235,256.75528013939953,6.737071131626439,96.07843137254902,1370.1553154827668,1219.5604654947917,20.039541812852814,58.333333333333336
21,21042,246.3338191170439,205.87900677849265,5.354821682492631,100.0,1362.592814610926,1194.899658203125,19.54507267071075,58.333333333333336
22,22042,300.05856529833864,244.4973575367647,6.409244016084416,98.0392156862745,1286.8594902491373,1106.5548095703125,18.012345625060064,58.333333333333336
23,23042,269.36821644501623,219.11011699601715,5.707503137311395,96.07843137254902,1338.9328956102968,1168.3409830729167,19.079660279725243,58.333333333333336
24,24042,253.98633336304118,207.0758367800245,5.473245173892305,96.07843137254902,1083.640209988547,853.2417805989584,13.63799085430199,75.0
25,25042,277.273480864712,224.24807559742646,5.871046402219339,96.07843137254902,1251.9534757993924,1064.9153238932292,17.290163015004545,58.333333333333336
26,26042,272.20117899759805,225.2494399126838,5.892778700143307,96.07843137254902,1281.455438429913,1102.8959147135417,17.93296982502863,58.333333333333336
27,27042,251.75166015741283,199.54146560968138,5.27945491788273,96.07843137254902,1061.5936311350683,823.2749430338541,13.118056466596279,83.33333333333334
28,28042,243.36821079002942,194.9987601485907,5.154022926925257,98.0392156862745,1054.783577438768,819.5681559244791,13.057015050249998,83.33333333333334
29,29042,266.90442692720643,214.7381280637255,5.634247926809293,96.07843137254902,1249.0458134020691,1057.94970703125,17.155710402944845,58.333333333333336
30,30042,275.01120158226826,221.28476849724265,5.782914514656111,94.11764705882352,1281.3180175615578,1095.4766031901042,17.793320759325113,58.333333333333336
31,31042,305.8340842317481,239.6808172487745,6.249706255854667,94.11764705882352,1434.928962045886,1286.6917724609375,21.17653060471838,58.333333333333336
32,32042,286.2275883526873,232.94234451593138,6.110967193860294,96.07843137254902,1312.3530854271492,1118.6764729817708,18.184391661011446,58.333333333333336
33,33042,253.7230416766092,198.61317593443627,5.185238984134382,94.11764705882352,1208.7335041748672,998.5362141927084,16.07937525507966,75.0
34,34042,297.32724417758146,242.4483092064951,6.357249646869581,98.0392156862745,1288.3636178793718,1109.124267578125,18.060682539902846,58.333333333333336
35,35042,299.6639575750846,244.07115023743873,6.387876515453292,96.07843137254902,1344.3235873823514,1176.4077555338542,19.23574062213642,58.333333333333336
36,36042,262.6844166736348,210.3373592601103,5.497557367021275,94.11764705882352,1367.1137791940505,1190.1138102213542,19.4209699964636,58.333333333333336
37,37042,293.9755239681812,239.17138193167892,6.253730318078242,94.11764705882352,1345.4517154750383,1174.2158203125,19.178777344258886,58.333333333333336
38,38042,311.4281388083007,256.94811293658086,6.7404591756056025,98.0392156862745,1242.0145655804276,1056.9119873046875,17.16949282027901,58.333333333333336
39,39042,324.8571288441169,264.506165747549,6.903072752738954,94.11764705882352,1418.820953794564,1265.0147705078125,20.7848242814196,58.333333333333336
40,40042,337.40356725096393,277.2087019378064,7.265606971400043,98.0392156862745,1316.2074348029573,1152.0973307291667,18.849614193378017,58.333333333333336
41,41042,294.41286500175073,240.33872357536765,6.286499089315063,94.11764705882352,1300.4189889462311,1125.8810221354167,18.35645785712007,58.333333333333336
42,42042,289.2993044119153,235.53338982077207,6.178228795865815,98.0392156862745,1272.6481094835851,1090.4338785807292,17.73447363698738,58.333333333333336
43,43042,291.9565784482876,239.23422660079657,6.2576054993928505,94.11764705882352,1340.494532293237,1175.3977457682292,19.22856649932999,58.333333333333336
44,44042,306.6040118603086,253.48345588235293,6.587020397799144,96.07843137254902,1359.9826924218708,1181.9227294921875,19.271924731354904,58.333333333333336
45,45042,270.047827232033,217.62855679381127,5.721789303655624,96.07843137254902,1243.8196765076905,1036.4654947916667,16.701603961191257,66.66666666666666
46,46042,389.77848476995086,294.6581361060049,7.76323497344226,90.19607843137256,1332.1212999351415,1164.4504801432292,19.036951145726988,58.333333333333336
47,47042,232.6081198076352,190.40781537224265,4.950873359212352,96.07843137254902,1145.5587888522657,930.9775797526041,14.934732166922906,66.66666666666666
48,48042,243.99986518095005,194.66470875459558,5.056094174630362,98.0392156862745,1358.419882789606,1175.4393310546875,19.13460415102811,58.333333333333336
49,49042,302.2267424686872,244.63171147365196,6.4016208359559235,94.11764705882352,1358.282430811533,1191.3251953125,19.48676126699873,58.333333333333336
50,50042,278.13342790821173,224.57958505667892,5.885621413097841,96.07843137254902,1332.6515391124262,1162.423095703125,18.987828431085106,58.333333333333336
51,51042,304.7487199784523,243.9489985447304,6.3823925393636305,96.07843137254902,1295.6770961864238,1112.7923583984375,18.104398749172635,58.333333333333336
52,52042,290.53363265904255,233.47215839460785,6.098031519688406,94.11764705882352,1362.7685696486635,1191.752197265625,19.482062673035806,58.333333333333336
53,53042,302.22128116275786,246.9651596966912,6.468022496278969,98.0392156862745,1285.9004556726088,1107.34423828125,18.03441443031878,58.333333333333336
54,54042,294.0774207531377,239.31572169883577,6.264036742651349,94.11764705882352,1353.6141459097257,1186.9251302083333,19.414586803132625,58.333333333333336
55,55042,276.534608424531,220.10603362438727,5.791819345275574,98.0392156862745,1244.630482270129,1031.8585205078125,16.639976883947714,58.333333333333336
56,56042,311.09016269190903,255.9506405101103,6.70978522175572,98.0392156862745,1202.8844940504914,1008.1248779296875,16.320772805205568,66.66666666666666
57,57042,272.07371582073665,222.26155598958334,5.750877423372601,98.0392156862745,1387.1031535894165,1221.4132893880208,19.99245270009176,58.333333333333336
58,58042,295.764405593552,238.68048215379903,6.2365723086298885,94.11764705882352,1309.7873094681415,1137.4715983072917,18.561973236265665,58.333333333333336
59,59042,296.79708957418353,242.93249751072304,6.356386265315766,94.11764705882352,1279.3375423876944,1093.6986897786458,17.762367313726543,58.333333333333336
60,60042,281.946586986017,227.37665632659315,5.9607068893074455,94.11764705882352,1290.4737475524564,1105.9050699869792,17.98138722165261,58.333333333333336
61,61042,319.83175802432237,260.25764495251224,6.820142512653082,98.0392156862745,1314.5498359082453,1143.1003011067708,18.663850224409718,58.333333333333336
62,62042,308.3719727814788,252.63928940716912,6.623085716304414,98.0392156862745,1271.9877300481398,1091.9011637369792,17.771062648226145,58.333333333333336
63,63042,283.87530509461294,223.82027899050246,5.812163828953156,96.07843137254902,1392.0309830014812,1229.9188639322917,20.151975495876083,58.333333333333336
64,64042,308.40194852217223,255.13002163756127,6.698995615726624,98.0392156862745,1235.270144918332,1039.8852945963542,16.848773501118433,66.66666666666666
65,65042,238.4881057868403,181.79320810355392,4.7695860077401875,94.11764705882352,1238.1686605903565,1038.9857584635417,16.76439707381491,66.66666666666666
66,66042,258.5663945609254,208.21490119485293,5.458804904871309,94.11764705882352,1245.5466311835155,1054.8360188802083,17.10455037821892,58.333333333333336
67,67042,282.7870631737177,228.75131644454657,6.008329721791834,94.11764705882352,1212.284298712807,1019.3243408203125,16.5061583118355,58.333333333333336
68,68042,316.05647859899597,256.94772039675246,6.713096539908131,98.0392156862745,1328.0070911412656,1163.9613850911458,19.04657393527136,58.333333333333336
69,69042,291.92410455016136,230.80973785998773,6.011361394836609,94.11764705882352,1415.0432448422036,1247.5046793619792,20.41135424385601,58.333333333333336
70,70042,312.7271079255291,257.0317143458946,6.733021960156332,98.0392156862745,1297.6639990309222,1126.052978515625,18.377803832120286,58.333333333333336
71,71042,292.8365279864437,234.2938112745098,6.142254486679883,94.11764705882352,1260.2232409696517,1066.1559244791667,17.299201365136543,66.66666666666666
72,72042,277.995495336835,225.36833160998773,5.901396313573773,94.11764705882352,1361.455513359193,1190.8723551432292,19.49097178523851,58.333333333333336
73,73042,286.07608317882193,228.80829216452207,5.969453982637821,94.11764705882352,1370.9087581950562,1202.9498697916667,19.671081294586788,58.333333333333336
74,74042,285.0176858380503,232.58557846966912,6.106542010307491,98.0392156862745,1245.5523287423496,1056.3931070963542,17.141279910792043,58.333333333333336
75,75042,291.11862875265575,236.85509535845588,6.191483738943729,94.11764705882352,1297.2865432775186,1118.3018798828125,18.211298494052777,58.333333333333336
76,76042,308.90034144751854,255.40840896905638,6.702148119836089,98.0392156862745,1285.6518227589756,1098.7939453125,17.857714178108928,58.333333333333336
77,77042,284.9395954425583,231.27295879289215,6.073356958351026,96.07843137254902,1224.975922831607,1029.4713948567708,16.66458758867999,66.66666666666666
78,78042,287.80864761783135,234.78985715379903,6.172970117535622,98.0392156862745,1293.8714597735316,1108.765869140625,18.02145992209077,58.333333333333336
79,79042,257.9210950957719,208.35926011029412,5.480470581986357,96.07843137254902,1195.2791910440924,977.49560546875,15.72554978534585,66.66666666666666
80,80042,301.49832242721857,246.15266448376227,6.454983643778905,98.0392156862745,1277.1367653422371,1096.5475667317708,17.847465684441573,58.333333333333336
81,81042,286.5864890350612,232.58412798713235,6.095136145959999,96.07843137254902,1298.908973253723,1118.9427897135417,18.218601522758927,58.333333333333336
82,82042,302.66265549811504,248.16704484528185,6.484694871818395,96.07843137254902,1329.0069298838155,1162.0462239583333,18.991530997702355,58.333333333333336
83,83042,286.4819735370054,235.28463445925246,6.174874402742852,98.0392156862745,1238.7044165660218,1051.28857421875,17.062704476359034,58.333333333333336
84,84042,235.931558329413,191.23023418351715,5.0049943651430215,94.11764705882352,907.5999428037672,609.9883626302084,9.510967893045292,91.66666666666666
85,85042,315.58633345793595,258.36424345128677,6.778055064413962,96.07843137254902,1319.3256879431824,1149.7642415364583,18.77943046411542,58.333333333333336
86,86042,282.44142610644843,229.06132716758577,6.0218594878494045,94.11764705882352,1362.6387496898842,1183.3026936848958,19.307651203292984,58.333333333333336
87,87042,299.3476340521536,239.0203067555147,6.2741442309176385,98.0392156862745,1272.5378686353806,1092.8089192708333,17.785218906674928,58.333333333333336
88,88042,296.24732522858045,242.51581648284315,6.357573876567582,96.07843137254902,1301.3135611860096,1124.9425048828125,18.335794382519673,58.333333333333336
89,89042,285.0582536239178,235.71642827052696,6.148534336545029,94.11764705882352,1320.7958226653618,1155.1370035807292,18.886568976997445,58.333333333333336
90,90042,293.8410458604169,239.2975882735907,6.270353968261645,94.11764705882352,1304.8434073221122,1128.2649332682292,18.389379737996826,58.333333333333336
91,91042,267.41822801853095,212.7767022824755,5.5629195506331826,94.11764705882352,1338.562761604264,1161.0914713541667,18.923437170169702,58.333333333333336
92,92042,303.5579294513082,248.52909103094362,6.505877521334984,94.11764705882352,1314.4059403782821,1142.1673990885417,18.64047078063227,58.333333333333336
93,93042,318.5724111671787,266.90457452512254,6.992372861516885,98.0392156862745,1269.1117425382167,1094.5914306640625,17.843884570544525,58.333333333333336
94,94042,432.8555055725126,347.1667049632353,8.918029489606713,82.35294117647058,1701.2147880994082,1581.229268391927,26.310131448777273,25.0
95,95042,297.1513810696408,244.27314070159315,6.378749266775226,98.0392156862745,1254.6453721770333,1068.4794921875,17.344550966063135,66.66666666666666
96,96042,291.7163584382024,241.32849839154412,6.331777325157235,98.0392156862745,1249.6634389988642,1061.3095296223958,17.220216168698087,58.333333333333336
97,97042,299.09237975657146,241.77258061427696,6.3530426273222185,96.07843137254902,1248.3142449643026,1058.2841796875,17.179860165578,58.333333333333336
98,98042,247.77717270119618,198.95381912530638,5.352548819136082,96.07843137254902,1048.9168624283673,806.3177897135416,12.828251561964205,83.33333333333334
