,Month,Deaths,LSTM Predictions,SARIMA Predictions
0,2015-01-01,2771,0.0,0.0
1,2015-02-01,2627,0.0,2374.844442837437
2,2015-03-01,2907,0.0,2739.695909158926
3,2015-04-01,2822,2837.289794921875,2821.1095994020243
4,2015-05-01,2850,2828.56396484375,2858.638137351528
5,2015-06-01,2634,2939.023193359375,2836.224247864585
6,2015-07-01,2734,2848.18896484375,2685.2814741836546
7,2015-08-01,2810,2831.655517578125,2701.074664129885
8,2015-09-01,2925,2777.937255859375,2799.681878276099
9,2015-10-01,2970,2877.58740234375,2901.30771303221
10,2015-11-01,2739,2958.201904296875,2964.7489781989057
11,2015-12-01,2718,2959.242431640625,2791.9035149533643
12,2016-01-01,3098,2912.86083984375,4664.446980877921
13,2016-02-01,3416,2901.27587890625,3325.5472776976567
14,2016-03-01,3721,3091.108154296875,3509.51539828518
15,2016-04-01,3608,3441.51611328125,3662.606165062633
16,2016-05-01,3475,3643.514892578125,3638.2384469626973
17,2016-06-01,3384,3712.154052734375,3286.282474665737
18,2016-07-01,3668,3596.728759765625,3452.0607522631835
19,2016-08-01,3624,3588.79248046875,3709.608750808333
20,2016-09-01,3518,3617.969482421875,3777.7460182510886
21,2016-10-01,3695,3704.668212890625,3616.964222873382
22,2016-11-01,3745,3703.1123046875,3407.8356480023695
23,2016-12-01,4044,3720.444091796875,3685.486406775172
24,2017-01-01,4332,3898.75439453125,4264.992913709214
25,2017-02-01,4006,4088.929931640625,4696.848357084572
26,2017-03-01,4252,4217.99951171875,4419.343965698962
27,2017-04-01,4056,4324.8828125,4137.026422582867
28,2017-05-01,4129,4191.32275390625,3994.168474438697
29,2017-06-01,3950,4266.39208984375,3954.193755303934
30,2017-07-01,3980,4148.6318359375,4202.34564528719
31,2017-08-01,4000,4138.0556640625,4016.074951903773
32,2017-09-01,4022,4070.926513671875,3945.476190407461
33,2017-10-01,3832,4096.52197265625,4150.450673102987
34,2017-11-01,3820,4059.098876953125,3868.3610450530473
35,2017-12-01,4017,4010.520751953125,4017.4312774304785
36,2018-01-01,4008,3975.36865234375,4288.251999178967
37,2018-02-01,3671,4024.875244140625,4006.763340302655
38,2018-03-01,4155,4017.89013671875,3991.626517935864
39,2018-04-01,3922,4057.51953125,3946.1588365461175
40,2018-05-01,4079,3973.47021484375,3953.2686411704726
41,2018-06-01,4063,4169.57666015625,3874.809411707284
42,2018-07-01,4085,4104.6337890625,4162.4130065939
43,2018-08-01,4061,4177.4384765625,4125.323170504699
44,2018-09-01,3882,4169.8984375,4064.024847058771
45,2018-10-01,3999,4123.03125,3894.431850102902
46,2018-11-01,3692,4092.633056640625,3916.9953959605755
47,2018-12-01,3976,3959.768310546875,3961.5944443951166
48,2019-01-01,3931,3959.76806640625,4066.4653482623075
49,2019-02-01,3727,4001.612060546875,3925.699672964015
50,2019-03-01,4285,3948.236083984375,4280.742985047689
51,2019-04-01,3934,4067.249267578125,4105.937013516101
52,2019-05-01,4100,4103.8525390625,4158.24365968396
53,2019-06-01,4112,4124.5078125,4057.753125615842
54,2019-07-01,4296,4195.0205078125,4154.347121244781
55,2019-08-01,4371,4237.322265625,4150.264710180533
56,2019-09-01,4252,4279.06201171875,4076.12358525256
57,2019-10-01,4529,4335.072265625,4127.190535942772
58,2019-11-01,4560,4382.07373046875,3976.694099731176
59,2019-12-01,4645,4430.4736328125,4209.919711254388
